sample,Plant,Animal
DD2,1,0
DD3,1,0
DD4,1,0
DD5,1,0
DD6,0,0
DD7,1,0
DD8,0,0
DD10,0,0
DD12,1,0
DD13,0,0
DD14,0,0
DD15,0,0
DD17,0,0
DD18,1,0
DD20,1,0
DD21,1,0
DD22,1,0
DD23,1,0
DD24,0,0
DD25,0,0
DD27,0,0
DD28,1,0
DD29,0,0
DD30,1,0
DD31,0,0
DD32,0,0
DD33,0,0
DD34,0,0
DD36,0,0
DD38,1,0
DD39,0,0
DD42,0,0
DD43,0,0
DD44,0,0
DD47,0,0
DD48,0,0
DD53,0,0
DD58,0,0
DD59,1,0
DD60,0,0
DD61,0,0
DD63,0,0
DD64,0,0
DD65,1,0
DD67,1,0
DD68,0,0
DD70,0,0
DD71,0,0
DD72,0,0
DD79,0,0
DD80,1,0
DD81,0,0
DD82,1,0
DD83,0,0
DD84,0,0
DD85,1,0
DD86,0,0
DD87,0,0
DD89,0,0
DD90,0,0
DD93,0,0
DD96,1,0
DD97,0,0
DD98,1,0
DD102,1,0
DD104,1,0
DD106,1,0
DD107,1,0
DD108,0,0
DD110,1,0
DD111,0,0
DD112,1,0
DD113,1,0
DD114,1,0
DD115,1,0
DD116,1,0
DD118,0,0
DD119,1,0
DD120,0,0
DD121,1,0
DD122,1,0
DD123,1,0
DD125,1,0
DD128,1,0
DD129,0,0
DD130,1,0
DD132,0,0
DD133,0,0
DD134,1,0
DD135,1,0
DD136,1,0
DD137,1,0
DD138,1,0
DD139,1,0
DD140,0,0
DD141,1,0
DD144,0,0
DD145,1,0
DD146,0,0
DD147,1,0
DD148,0,0
DD149,0,0
DD150,0,0
DD151,0,0
DD152,0,0
DD153,0,0
DD154,1,0
DD155,0,0
DD157,0,0
DD160,0,0
DD161,0,0
DD162,0,0
DD164,0,0
DD167,1,0
DD168,1,0
DD169,0,0
ID3,0,1
ID4,0,0
ID5,0,1
ID6,0,1
ID7,0,1
ID8,0,0
ID9,0,1
ID16,0,0
ID17,0,1
ID18,0,1
ID21,0,0
ID25,0,1
ID27,0,1
ID28,0,1
ID29,0,0
ID30,0,0
ID31,0,0
ID32,0,1
ID33,0,0
ID34,0,0
ID35,0,0
ID36,0,1
ID37,0,0
ID38,0,0
ID39,0,1
ID40,0,0
ID42,0,0
ID43,0,0
ID44,0,1
ID45,0,1
ID46,0,1
ID47,0,0
ID49,0,0
ID50,0,0
ID51,0,0
ID52,0,1
ID53,0,0
ID54,0,1
ID55,0,1
ID56,0,1
ID57,0,1
ID58,0,0
ID59,0,0
ID60,0,0
ID61,0,1
ID63,0,0
ID64,0,1
ID83,0,1
ID85,0,1
ID86,0,0
ID87,0,0
ID89,0,1
ID90,0,0
ID91,0,1
ID92,0,0
ID95,0,0
ID97,0,0
ID98,0,1
ID99,0,1
ID100,0,1
ID103,0,0
ID104,0,0
ID106,0,0
ID109,0,0
ID110,0,1
ID112,0,1
ID113,0,0
ID115,0,0
ID117,0,1
ID120,0,0
ID123,0,0
ID124,0,0
ID125,0,0
ID127,0,1
ID128,0,0
ID129,0,0
ID131,0,0
ID132,0,0
ID133,0,1
ID134,0,0
ID135,0,0
ID136,0,1
ID138,0,1
ID140,0,0
ID153,0,1
ID155,0,0
ID156,0,1
ID167,0,0
ID188,0,0
ID205,0,1
ID209,0,1
ID210,0,1
ID211,0,0
ID214,0,1
ID216,0,0
ID217,0,1
ID220,0,0
ID221,0,0
ID225,0,0
ID230,0,0
ID231,0,0
ID235,0,0
ID237,0,1
ID238,0,0
ID239,0,0
ID240,0,0
ID241,0,0
ID254,0,1
ID255,0,0
ID256,0,0
ID257,0,1
ID258,0,0
ID259,0,0
ID260,0,0
ID261,0,0
ID262,0,0
ID263,0,0
ID264,0,1
ID265,0,0
ID266,0,0
