sample,Otu000001,Otu000002,Otu000003,Otu000004,Otu000005,Otu000006,Otu000007,Otu000009,Otu000010,Otu000011,Otu000012,Otu000014,Otu000015,Otu000016,Otu000017,Otu000018,Otu000019,Otu000021,Otu000024,Otu000025,Otu000026,Otu000028,Otu000030,Otu000031,Otu000032,Otu000033,Otu000034,Otu000035,Otu000037,Otu000038,Otu000039,Otu000040,Otu000042,Otu000043,Otu000044,Otu000045,Otu000046,Otu000047,Otu000049,Otu000051,Otu000053,Otu000054,Otu000056,Otu000057,Otu000058,Otu000059,Otu000060,Otu000062,Otu000063,Otu000064,Otu000065,Otu000066,Otu000070,Otu000071,Otu000072,Otu000073,Otu000075,Otu000076,Otu000077,Otu000080,Otu000082,Otu000083,Otu000084,Otu000085,Otu000086,Otu000088,Otu000090,Otu000091,Otu000092,Otu000093,Otu000094,Otu000095,Otu000097,Otu000098,Otu000100,Otu000101,Otu000102,Otu000103,Otu000106,Otu000107,Otu000109,Otu000113,Otu000115,Otu000117,Otu000118,Otu000126,Otu000127,Otu000129,Otu000130,Otu000132,Otu000135,Otu000138,Otu000139,Otu000142,Otu000143,Otu000146,Otu000152,Otu000154,Otu000155,Otu000156,Otu000157,Otu000163,Otu000164,Otu000165,Otu000167,Otu000169,Otu000172,Otu000174,Otu000176,Otu000178,Otu000186,Otu000188,Otu000190,Otu000191,Otu000193,Otu000196,Otu000200,Otu000204,Otu000205,Otu000206,Otu000212,Otu000214,Otu000226,Otu000227,Otu000232,Otu000233,Otu000234,Otu000235,Otu000236,Otu000237,Otu000238,Otu000239,Otu000241,Otu000245,Otu000252,Otu000255,Otu000263,Otu000272,Otu000274,Otu000280,Otu000281,Otu000286,Otu000291,Otu000294,Otu000299,Otu000300,Otu000307,Otu000310,Otu000318,Otu000323,Otu000325,Otu000326,Otu000331,Otu000332,Otu000335,Otu000336,Otu000340,Otu000341,Otu000351,Otu000366,Otu000369,Otu000370,Otu000371,Otu000374,Otu000375,Otu000384,Otu000389,Otu000390,Otu000395,Otu000405,Otu000414,Otu000417,Otu000418,Otu000428,Otu000432,Otu000434,Otu000436,Otu000446,Otu000453,Otu000470,Otu000483,Otu000493,Otu000498,Otu000518,Otu000567,Otu000569,Otu000612,Otu000628,Otu000643,Otu000740,Otu000774
DD10,9.460010054367972,0,7.258869977101657,0,6.497648500993469,0,0,8.405532839039836,7.068490588580562,7.00847267132934,6.662055044605735,7.593965193179972,2.906755896449532,0,2.906755896449532,6.349778954445804,5.744314134663022,6.803209960293221,4.831719715603773,4.716223347173437,5.193801627871185,1.9436489722252994,5.367639508782389,4.225733953969253,4.86743341597618,0,5.899504290098444,6.605068310565747,5.848211807249707,6.055437079090064,3.5976620514700524,4.51332258911865,5.60346003593467,0,5.324156374311344,5.874186872280712,0,0,5.141845263086172,6.204224400321585,0,6.147337518030494,0,4.462042274727596,4.407990255722923,5.994813166174168,5.834966803938402,5.861283674026954,3.0239133284645776,0,5.841611233827953,5.478300755631889,5.660616982827205,4.1204235244248295,3.9157625145780597,3.769294231880631,5.128423172913321,8.179964144327645,4.86743341597618,4.951507372776884,4.998755746814484,5.043872254978423,2.621382076746765,5.801065851866198,3.128825633285099,2.621382076746765,2.906755896449532,1.5624098309098353,3.7152877427728885,0,3.3105624322919516,5.058469857787642,0,3.8692811929916604,3.533226781924738,4.884823135582592,5.439462331229333,4.290246615617385,0,5.20637964461277,0,1.9436489722252994,0,0,4.6530552307429565,4.831719715603773,2.774134903106704,4.695607431234484,1.5624098309098353,3.3105624322919516,0,2.621382076746765,0,0,3.0239133284645776,4.043506341999801,3.769294231880631,3.4643600256925113,1.9436489722252994,0,2.621382076746765,4.156772676344668,4.462042274727596,0,4.321007070870041,0.9770989907536347,0,3.5976620514700524,2.2224256204413444,0,0,1.9436489722252994,0.9770989907536347,0,3.3105624322919516,2.906755896449532,3.3105624322919516,0,0,2.774134903106704,4.935248505381432,0,0,3.0239133284645776,1.5624098309098353,4.002710497862478,3.0239133284645776,3.128825633285099,0,1.9436489722252994,0,2.774134903106704,2.621382076746765,0,2.774134903106704,2.774134903106704,2.621382076746765,2.906755896449532,2.774134903106704,2.621382076746765,3.128825633285099,1.5624098309098353,0,0,0.9770989907536347,0,0,2.774134903106704,2.906755896449532,2.774134903106704,0,1.9436489722252994,2.4413660083061344,0,0,0,2.2224256204413444,0,2.2224256204413444,3.22380379991293,2.621382076746765,0.9770989907536347,0,3.0239133284645776,1.9436489722252994,0,0,0,1.5624098309098353,3.0239133284645776,0,0,0,1.5624098309098353,0,0,1.9436489722252994,0,0.9770989907536347,0,0,0,1.9436489722252994,3.0239133284645776,0,1.9436489722252994,0.9770989907536347,0,0.9770989907536347,1.5624098309098353,0.9770989907536347
DD102,9.705599065671343,0,6.53483684073112,0,7.663570001197447,0,0,7.478276772949679,0,7.9313974247559775,5.962530647472336,7.973625910721045,0,6.315128915177189,0,7.386709643633039,6.979286154045936,4.584431114690653,7.969263854680354,0,5.544804094710882,3.2313430286358265,0,6.2502098226555685,5.682950746772461,0,0,0,5.369869041757989,0,6.055619945563132,5.6389886879780144,5.139358073498592,5.978659819183884,4.97902841199039,6.091987204078234,0,0,5.41303942135859,0,0,0,2.763761333125795,3.5490619387744817,7.434474179542465,5.481090355615023,3.71588134540887,6.7071692250097605,6.53483684073112,0,0,4.6161734007141035,0,4.813967180991945,0,3.983899514468683,0,0,5.120667249145637,3.453925167914961,5.021584163378119,0,0,0,2.9448706686087904,3.5490619387744817,4.787995206421848,0,0,3.3487988813180416,3.0982882852068414,5.5930047931694915,0,0,4.446313943295596,4.911593967480595,0,0,0,0,0,0,0,0,5.4941619895843665,3.0982882852068414,0,4.6161734007141035,1.2381391469596679,0,0,0,0,4.482671949752864,3.8588348659568124,1.2381391469596679,0,1.8676426281270015,0,0,4.146322326125789,0,3.71588134540887,0,4.286023228396215,0,5.082203820324768,3.0982882852068414,0,0,0,0,0,4.761330759705622,0,4.286023228396215,7.173787850086681,0,2.763761333125795,0,4.733935906910657,0,0,0,0,0,2.9448706686087904,3.0982882852068414,0,1.2381391469596679,3.0982882852068414,0,1.8676426281270015,0,2.763761333125795,2.259902840849758,0,0,3.453925167914961,3.453925167914961,0,1.2381391469596679,0,0,1.2381391469596679,0,3.2313430286358265,0,1.8676426281270015,2.542837940917063,0,1.8676426281270015,2.259902840849758,1.2381391469596679,0,3.5490619387744817,2.763761333125795,0,0,3.3487988813180416,2.542837940917063,2.763761333125795,1.8676426281270015,0,0,1.2381391469596679,0,0,2.259902840849758,0,0,0,3.2313430286358265,0,1.2381391469596679,2.763761333125795,1.2381391469596679,0,1.2381391469596679,0,2.259902840849758,1.2381391469596679,1.8676426281270015,0,0,0,0,2.542837940917063,1.2381391469596679,1.2381391469596679,2.259902840849758
DD104,9.041651798962723,0,4.862209221346234,6.919750190448551,8.298920536213592,0,8.03711215665071,0,7.0058409053546855,7.081085185140828,6.077177320307713,6.871275533337558,0,6.70407135277687,0,5.870385604089952,7.058002048364852,4.626679137087125,0,0,4.493177063657747,0,2.2701864819005864,7.669616795145983,0,0,4.156824891555484,0,6.348236308027644,0,3.4132245305987694,5.517572392012692,6.062417062479608,3.7263768086573483,3.8693333883107774,5.342920449602366,0,5.082859243963168,4.8497882057281245,5.852203579885786,5.542889403841046,0,2.8688230796851695,0,5.8195672075366405,2.8688230796851695,6.822071487440221,6.299586111812078,7.2292735542130995,5.402194503218203,0,5.342920449602366,4.229112546195698,4.475163148192961,0,4.626679137087125,4.438131848044279,2.5532178589162404,4.67248028770709,0,0,0,0,0,3.1087537898499478,4.456818856850188,0,0,3.6464346946161332,2.4215246239231822,2.5532178589162404,4.898572670225842,0,2.4215246239231822,4.35968396160909,4.1815056942431665,5.140563368653816,3.6464346946161332,1.8776652898650947,4.274556485107048,0,0,2.955321035443098,0,4.1815056942431665,4.687292821879056,0,0,3.800404941245915,0,2.4215246239231822,0,0,3.4644121643032277,5.387702093228968,3.1087537898499478,4.758233332936788,3.302268730943911,0,6.620434730913708,3.8693333883107774,0,0,4.798501534328342,4.716275579626644,0,6.402597201807748,3.8693333883107774,0,2.774186738653963,0,0,0,2.774186738653963,0,0,4.023368517303506,0,0,0,0,3.177490042823965,0,0,2.669734801506086,4.758233332936788,0,3.302268730943911,2.669734801506086,3.559552531758142,0,0,0,1.24703070690208,1.8776652898650947,0,0,2.2701864819005864,2.8688230796851695,2.2701864819005864,3.513111372907497,2.669734801506086,0,0,2.669734801506086,0,2.5532178589162404,1.6073120878415805,2.4215246239231822,0,0,2.4215246239231822,3.24181839357625,0,0,2.2701864819005864,2.092478102183495,0.7312303631042495,0,2.5532178589162404,1.24703070690208,0,0,1.6073120878415805,0,2.4215246239231822,3.0349636337632413,0,0.7312303631042495,1.6073120878415805,0,0,0,0,1.6073120878415805,0,0,0,2.092478102183495,0,0,0.7312303631042495,1.6073120878415805,1.6073120878415805,0,0,0,0,0,0.7312303631042495,0.7312303631042495
DD106,8.400322195706037,0,6.015825882511793,0,6.86659714027465,0,0,8.410383766444758,7.67868322280267,7.011778876488425,6.762393614340298,6.636266999618324,4.135085401094664,0,1.047329697599951,5.310427058646122,4.90499245063426,5.695088301067103,5.775775527403778,4.471432238127482,6.48810984879254,2.031898781786048,5.798764613278816,4.9233396111659635,6.3965952048694765,0,7.61791410952698,5.607314859809741,5.821237065282532,5.480319065726731,1.047329697599951,2.5317350705172776,5.490681496424498,0,4.6772401979798515,5.660897736491819,0,0,5.984864037180813,5.490681496424498,0,4.9233396111659635,0,5.3703224453487906,5.381882772988579,6.6557480694210005,4.993536937434631,6.086442665659455,4.629620800644093,0,5.010342535573151,5.105644997615012,4.993536937434631,4.174286801888684,4.135085401094664,2.8651152605000187,3.1151488855251426,0,4.766173575551004,4.6772401979798515,0,3.6247145355346904,2.031898781786048,6.917369360804314,0,4.412608053851553,0,0,0,0,3.220135842821572,4.412608053851553,1.047329697599951,2.7121310343970184,4.24836216885642,3.689167059892315,4.317328733818896,0,0,5.91317308510136,0,0,0,0,4.553650521258884,4.9233396111659635,3.5558267096786342,3.912085805205727,1.047329697599951,3.6247145355346904,0,2.031898781786048,3.220135842821572,2.8651152605000187,3.4019701626558922,2.031898781786048,3.689167059892315,0,1.047329697599951,1.047329697599951,0,0,0,0,3.481848900189975,0,0,2.5317350705172776,3.4019701626558922,0,0,0,3.1151488855251426,2.5317350705172776,2.5317350705172776,0,2.8651152605000187,3.481848900189975,2.8651152605000187,3.1151488855251426,4.283439655592744,0,3.749720392871526,0,0,0,0,3.220135842821572,1.047329697599951,2.031898781786048,0,2.5317350705172776,1.6469180434720851,1.047329697599951,2.031898781786048,0,1.6469180434720851,3.5558267096786342,2.031898781786048,0,3.481848900189975,1.047329697599951,0,0,0,0,0,1.6469180434720851,0,2.031898781786048,1.047329697599951,1.047329697599951,2.997887394479581,1.047329697599951,0,1.6469180434720851,1.047329697599951,0,0,2.5317350705172776,0,0,0,3.1151488855251426,1.6469180434720851,0,2.031898781786048,0,0,2.8651152605000187,0,1.047329697599951,0,2.7121310343970184,0,0,0,2.031898781786048,0,1.047329697599951,1.047329697599951,0,2.7121310343970184,3.1151488855251426,1.047329697599951,0,0,0,2.031898781786048,0,1.047329697599951
DD107,10.228713061518834,0,8.21982901149186,0,5.755677405241207,2.625429974084819,0,6.976882871109414,7.6506113212765845,7.9512804869665485,7.889748211523502,6.23109495645069,6.834768021084059,0,1.5661574062455998,5.615918692887389,6.892199944602762,6.784252353967211,0,4.740512998281198,3.8246224950679903,1.5661574062455998,5.564626829454,0,6.66905697356226,0,0,6.981147262499933,7.495370805491847,2.625429974084819,4.566191436113549,5.105116615893648,0,0,5.43360296407446,0,1.5661574062455998,6.096276931444002,4.817463157072139,0,0,6.7526708653857375,0,0,2.625429974084819,3.1329007945959506,4.699697492778771,0,3.8246224950679903,5.305775148974515,1.5661574062455998,4.466131931484881,4.853826213216911,5.328246922353134,1.5661574062455998,4.229822955489991,3.314642335310489,1.5661574062455998,5.632447564118409,4.817463157072139,5.413401043198888,3.1329007945959506,0,0,3.7193736565065305,1.5661574062455998,0,0,4.817463157072139,0,3.9198500223692583,5.305775148974515,0,4.466131931484881,5.453404850733216,5.546927781192069,0,3.4684427958227473,2.625429974084819,5.546927781192069,6.747308936946708,2.226421808994235,0,5.472822238268257,0,1.5661574062455998,0,3.314642335310489,0,1.5661574062455998,0,0,0,4.566191436113549,4.888913411338867,2.9108223717691715,0,3.1329007945959506,0,0,4.354939190850576,2.625429974084819,0,3.8246224950679903,3.314642335310489,0,0,0,2.9108223717691715,0,0,0,0,0,3.8246224950679903,3.4684427958227473,0,6.491376484105049,0,0,3.314642335310489,3.6017466857039766,3.1329007945959506,0,0,3.314642335310489,3.314642335310489,2.625429974084819,3.314642335310489,0,0,0,2.625429974084819,2.625429974084819,1.5661574062455998,0,4.466131931484881,0,2.9108223717691715,1.5661574062455998,0,1.5661574062455998,0,1.5661574062455998,3.6017466857039766,2.226421808994235,1.5661574062455998,0,3.1329007945959506,2.226421808994235,1.5661574062455998,0,0,0,0,3.4684427958227473,2.9108223717691715,0,0,0,2.226421808994235,0,0,0,0,1.5661574062455998,0,0,2.226421808994235,0,0,2.226421808994235,0,0,3.1329007945959506,0,4.086792287440697,3.7193736565065305,1.5661574062455998,0,0,0,3.314642335310489,0,0,0,1.5661574062455998,1.5661574062455998,0,0,1.5661574062455998
DD108,6.020986914383417,9.351082490237374,4.654195411875712,0,7.7641955761240995,8.552964611281942,0,7.642115205129651,3.593988688288198,7.448097717715547,0,3.0078890524780153,0,0,3.3431669867407767,3.593988688288198,5.347274596427954,3.3431669867407767,4.286569103434792,5.1096167390325755,6.293851423122217,0,4.763376917877374,2.104139040908704,0,7.357013956224311,0,0,7.65367602226873,2.104139040908704,1.452332206755268,0,4.104330732546907,0,3.6992057144593358,2.104139040908704,0,0,3.47640615128175,4.440669614751336,0,2.501362783583076,0,0,5.49036979829523,5.006970894439905,5.686479153002826,0,5.267235824086694,0,0,3.3431669867407767,0,4.391893691488087,4.286569103434792,4.574168442042087,4.574168442042087,2.501362783583076,2.7861118331944645,4.48717728643575,0,3.9613200767423375,5.224678573225474,6.893177464306596,4.286569103434792,0,0,0,1.452332206755268,0,0,4.0353781347183,5.246183558959089,0,4.16883628902565,1.452332206755268,3.6992057144593358,0,0,0,0,0,4.922421755335632,5.033636816235512,3.79440968851614,3.0078890524780153,5.802736572791294,4.574168442042087,0,4.286569103434792,2.501362783583076,4.574168442042087,3.79440968851614,0,0,3.1894660542107744,0,0,0,0,1.452332206755268,0,0,0,1.452332206755268,0,0,3.1894660542107744,0,0,1.452332206755268,0,4.104330732546907,4.0353781347183,0,4.951406305927618,3.3431669867407767,0,2.104139040908704,4.340616944498375,3.47640615128175,0,0,3.0078890524780153,0,3.593988688288198,0,3.593988688288198,0,0,2.104139040908704,0,0,1.452332206755268,0,0,0,4.104330732546907,1.452332206755268,0,4.229433588069072,0,0,0,0,0,3.593988688288198,0,0,0,0,0,0,0,3.6992057144593358,0,0,0,0,0,0,0,0,0,3.3431669867407767,0,0,0,0,4.286569103434792,2.501362783583076,0,2.104139040908704,0,0,0,0,0,0,1.452332206755268,0,0,3.1894660542107744,0,0,0,0,0,1.452332206755268,0,0
DD110,8.526396227530602,4.9802278426579685,6.9475057774706235,0,7.083945850166395,4.454222765483221,6.12324946348424,0,5.618852773898889,6.418149644357256,0,0,3.735534329161484,0,3.4994893001154144,6.385240091398318,5.703191878348697,6.7993402958837885,6.335706452399098,5.949587963548067,6.510839856770884,5.710517756637512,6.546270142441088,5.385666711412381,7.5239280517527405,2.8731669935259636,7.1672534113239355,4.528312109373993,6.132864830721444,6.82361327337967,4.374203533304645,4.122992722394233,5.233205602277649,0,5.859438209290822,4.317064337272514,7.215395432702447,3.8355145525788936,4.760891023574353,5.425274250692598,4.2247271128862005,4.317064337272514,1.9112537985884557,6.026973652685245,0.9518782177125205,4.086644862601032,4.682431852439085,5.552714833709548,4.3460418536819745,2.408094335289206,5.267889251791495,4.949459181910901,3.276858344272213,4.2247271128862005,2.408094335289206,4.086644862601032,0,4.428254489679356,5.44450488085243,3.9264088151197503,0,3.6244504206248003,4.287222318929338,2.5879524661531157,2.5879524661531157,3.276858344272213,2.8731669935259636,3.6244504206248003,4.048926644053696,3.190117304090948,4.158066267985331,2.408094335289206,0,5.244900983651732,4.454222765483221,3.881993171863994,3.7867721418603923,3.7867721418603923,3.276858344272213,2.408094335289206,5.680886628333838,2.408094335289206,2.408094335289206,0,4.597289951770293,0,2.740608966840102,3.4994893001154144,2.8731669935259636,3.881993171863994,0.9518782177125205,4.317064337272514,0,0,2.5879524661531157,4.374203533304645,0,2.9902810501616797,3.735534329161484,3.430631337360414,2.740608966840102,2.8731669935259636,3.430631337360414,2.9902810501616797,3.5639173677219036,0,2.740608966840102,2.740608966840102,0,0.9518782177125205,5.108050559140154,2.408094335289206,3.430631337360414,0,3.5639173677219036,4.741845672354564,3.276858344272213,4.158066267985331,3.6815320794565807,3.276858344272213,3.6244504206248003,1.9112537985884557,2.5879524661531157,0,2.9902810501616797,0,0,0,2.8731669935259636,3.4994893001154144,1.531543928532546,2.8731669935259636,2.9902810501616797,3.095162225499037,2.8731669935259636,0,2.5879524661531157,3.9264088151197503,2.18943893307794,2.18943893307794,3.356690514676661,2.18943893307794,1.531543928532546,3.190117304090948,0,2.408094335289206,0,0.9518782177125205,0,2.18943893307794,1.531543928532546,1.9112537985884557,2.5879524661531157,0,4.2247271128862005,0,0,0,0,0,0,0,0.9518782177125205,0,0,1.531543928532546,0,0,0,0,2.408094335289206,0,0,3.095162225499037,0.9518782177125205,1.9112537985884557,1.9112537985884557,1.9112537985884557,0,0,0,0.9518782177125205,0,0,0,3.095162225499037,1.9112537985884557,0.9518782177125205,2.18943893307794,0,0
DD111,9.149411826936634,0,0,6.997471113457789,6.010630691489448,0,0,0,0,6.458843405834563,6.121492088144906,7.735851490960824,0,0,2.648349527190436,0,6.814635654597444,7.042704882993265,7.885076003202935,6.974063062616467,2.8291449794865695,3.1153026753912236,6.064334257894174,6.366612678780091,8.351767188406585,0,0,6.632314627875028,4.029939222785391,0,4.169624130481553,0,0,6.232391825597753,0,0,7.927547418779359,0,0,6.301752453380233,0,0,3.1153026753912236,6.59457443590287,0,0,0,6.232391825597753,0,0,5.282411984529689,0,0,3.232673176045459,0,0,0,0,6.476311014615159,0,5.544765712086709,0,0,0,1.7572525372011165,0,0,2.8291449794865695,0,3.8675415897684284,3.9786800506153597,5.1447987836319955,0,5.2680240005375305,3.5995877724383942,4.589342217142119,0,0,2.9823720867578265,0,0,2.8291449794865695,1.1414604270378585,0,5.953878597878846,0,0,0,0,0,1.1414604270378585,0,0,0,0,2.648349527190436,0,0,3.432829745569593,0,0,0,0,0,0,0,0,0,1.1414604270378585,0,4.905146830235246,0,0,0,1.7572525372011165,0,0,0,0,0,0,0,5.577200028640317,0,0,0,0,0,4.56036084040655,1.1414604270378585,0,4.329901233696344,5.687862754892105,1.1414604270378585,2.648349527190436,0,1.1414604270378585,0,2.648349527190436,1.7572525372011165,0,0,0,0,0,0,0,2.9823720867578265,0,1.1414604270378585,0,0,0,1.1414604270378585,4.530514605721045,0,0,1.7572525372011165,0,3.3377382946514507,0,0,0,0,0,0,0,3.1153026753912236,0,0,0,0,0,0,0,0,0,0,0,0,2.146267741309394,0,0,0,0,0,0,0,0,0,1.1414604270378585
DD112,8.955532833435123,0,0,7.426745214553174,7.320280420595857,0,2.8185000389577506,0,0,7.012132890932931,6.650793447978973,8.186343130818894,0,6.944750010774594,0,0,7.031984627893843,6.971206532449444,7.950728692916671,7.0071077629281175,5.677142731834887,2.1358396090388165,6.621594393826145,7.079955384323008,6.991879067579162,0,0,0,4.974462161172857,0,4.067985957357669,0,0,5.776770455584401,0,0,9.608396268767727,0,0,7.130194191093902,7.263446998584266,0,4.390620091721483,3.8568307892121956,1.1327402070971089,0,2.1358396090388165,5.327259349917595,3.9139409683235185,0,6.370281123012088,0,0,4.736819583329946,0,0,0,0,6.448123187378106,0,5.544974504597973,0,0,0,3.1046249734546914,0,0,3.588883681695258,0,0,3.327045326104902,5.417639509690866,0,4.6341829421328296,4.80742702871871,4.158909036135173,0,0,2.9717073153163005,1.1327402070971089,0,0,0,0,6.129120882202366,0,0,0,0,0,0,0,0,3.588883681695258,0,4.158909036135173,0,1.1327402070971089,3.7317946218236733,1.7471580615660658,0,0,0,0,4.158909036135173,0,0,0,2.4174443467554427,0,5.197588512424705,1.1327402070971089,0,0,2.1358396090388165,0,0,0,0,0,0,1.1327402070971089,4.519796849972721,0,0,0,2.9717073153163005,0,3.588883681695258,1.1327402070971089,0,4.319184719712967,4.686817246319906,0,2.1358396090388165,0,2.4174443467554427,0,2.8185000389577506,0,0,1.7471580615660658,0,0,0,0,0,0,0,1.7471580615660658,0,2.1358396090388165,0,1.1327402070971089,3.588883681695258,2.1358396090388165,1.1327402070971089,0,0,4.067985957357669,0,0,0,0,3.4221320534285384,0,0,3.1046249734546914,1.1327402070971089,0,0,2.4174443467554427,0,0,0,1.1327402070971089,0,0,2.1358396090388165,0,0,0,0,0,1.1327402070971089,0,0,0,1.1327402070971089,1.1327402070971089,0
DD113,8.49732015793712,0,7.4070324500409574,7.5630511429996945,6.18011463001579,0.9356204583047405,0,7.66919517459086,7.063731025919664,6.478893667626788,6.654569983172375,5.403213549711967,4.973204812302941,0,5.2683005099539795,4.75752207592124,5.162946221101874,6.5974117702802495,5.6811308043242486,5.765686383493099,7.0394534927585175,1.8901564356893041,6.478893667626788,5.301088647744263,5.710117686348965,0,6.772352670589795,5.3934577741341725,3.859950748703201,6.84381145997735,4.265169261550967,3.2548609454946766,6.543017912000199,0,4.026878786150617,6.04658454932863,0,0,5.530653935895146,6.1155766993478515,0,6.125055351733867,0,4.958168397355312,6.388867981111713,6.729471060506293,4.680573303021596,0,3.4086169666243675,0,4.100942976294581,5.222840662700683,3.9043647646547712,4.793884547755216,6.04658454932863,3.541891960483114,6.1483662126555565,5.547602970636666,4.234410129696658,5.3934577741341725,4.432167289662273,6.010217327472113,3.813473994245074,4.1360157207086745,1.5114909416199545,5.311783410712496,2.851249033852605,1.5114909416199545,2.3863949203516954,0,3.0731928877206736,4.202675189376828,0,3.168132041021414,1.8901564356893041,4.026878786150617,5.045171890488782,3.4774688621744483,0,5.441311908871408,0,0,4.793884547755216,4.5527649825522065,4.100942976294581,4.618709227433666,5.017003417453408,3.3346836575443106,2.1679355547540737,3.2548609454946766,0,4.265169261550967,3.9468912482338823,3.3346836575443106,2.5661442889218105,3.987684004802774,2.5661442889218105,2.851249033852605,3.7134984203211934,3.4774688621744483,2.3863949203516954,2.1679355547540737,3.9043647646547712,0,0,1.8901564356893041,0,3.3346836575443106,4.169900522499487,0,0,2.851249033852605,4.295010786446195,0,0,0,2.5661442889218105,3.4086169666243675,3.7134984203211934,4.75752207592124,3.4086169666243675,0,2.851249033852605,4.234410129696658,3.602420892402674,2.5661442889218105,2.968333181435413,2.3863949203516954,1.8901564356893041,2.1679355547540737,0,2.3863949203516954,2.3863949203516954,2.3863949203516954,0,2.5661442889218105,3.168132041021414,3.168132041021414,2.1679355547540737,1.5114909416199545,3.602420892402674,2.851249033852605,4.169900522499487,0,2.5661442889218105,2.3863949203516954,2.1679355547540737,0,0,0,1.8901564356893041,0.9356204583047405,3.168132041021414,0,0.9356204583047405,4.100942976294581,2.1679355547540737,0.9356204583047405,4.406199338994579,0,0.9356204583047405,0,1.8901564356893041,2.3863949203516954,0,0,2.851249033852605,0,0,2.851249033852605,0.9356204583047405,0.9356204583047405,0,0,0,0,0,0,0.9356204583047405,1.5114909416199545,1.8901564356893041,0,0,1.8901564356893041,0.9356204583047405,2.718734413563804,0.9356204583047405,0,1.5114909416199545,0,0
