sample,subject,time,condition
DD2,Plant5,3,Plant
DD3,Plant7,4,Plant
DD4,Plant7,3,Plant
DD5,Plant4,2,Plant
DD6,Plant8,-1,Plant
DD7,Plant6,2,Plant
DD8,Plant9,-5,Plant
DD10,Plant9,-3,Plant
DD12,Plant3,2,Plant
DD13,Plant3,-2,Plant
DD14,Plant6,-1,Plant
DD15,Plant1,-4,Plant
DD17,Plant3,-1,Plant
DD18,Plant8,1,Plant
DD20,Plant8,2,Plant
DD21,Plant6,4,Plant
DD22,Plant8,0,Plant
DD23,Plant1,4,Plant
DD24,Plant5,-2,Plant
DD25,Plant9,6,Plant
DD27,Plant9,-1,Plant
DD28,Plant4,3,Plant
DD29,Plant5,-1,Plant
DD30,Plant10,0,Plant
DD31,Plant4,-4,Plant
DD32,Plant6,-4,Plant
DD33,Plant1,7,Plant
DD34,Plant7,-3,Plant
DD36,Plant8,-3,Plant
DD38,Plant4,0,Plant
DD39,Plant6,-3,Plant
DD42,Plant4,9,Plant
DD43,Plant7,10,Plant
DD44,Plant2,7,Plant
DD47,Plant8,9,Plant
DD48,Plant10,8,Plant
DD53,Plant5,-4,Plant
DD58,Plant8,-4,Plant
DD59,Plant5,1,Plant
DD60,Plant6,7,Plant
DD61,Plant3,-4,Plant
DD63,Plant10,-2,Plant
DD64,Plant10,-1,Plant
DD65,Plant7,0,Plant
DD67,Plant7,5,Plant
DD68,Plant4,6,Plant
DD70,Plant5,7,Plant
DD71,Plant7,6,Plant
DD72,Plant7,-2,Plant
DD79,Plant7,-4,Plant
DD80,Plant5,0,Plant
DD81,Plant2,9,Plant
DD82,Plant2,3,Plant
DD83,Plant2,6,Plant
DD84,Plant2,10,Plant
DD85,Plant2,1,Plant
DD86,Plant5,8,Plant
DD87,Plant2,8,Plant
DD89,Plant2,-2,Plant
DD90,Plant2,-1,Plant
DD93,Plant8,7,Plant
DD96,Plant2,4,Plant
DD97,Plant6,9,Plant
DD98,Plant3,3,Plant
DD102,Plant8,5,Plant
DD104,Plant2,5,Plant
DD106,Plant9,4,Plant
DD107,Plant1,5,Plant
DD108,Plant6,6,Plant
DD110,Plant4,4,Plant
DD111,Plant5,-3,Plant
DD112,Plant5,4,Plant
DD113,Plant9,2,Plant
DD114,Plant8,4,Plant
DD115,Plant9,1,Plant
DD116,Plant10,1,Plant
DD118,Plant3,-3,Plant
DD119,Plant10,3,Plant
DD120,Plant6,-2,Plant
DD121,Plant1,1,Plant
DD122,Plant6,3,Plant
DD123,Plant9,3,Plant
DD125,Plant8,3,Plant
DD128,Plant6,5,Plant
DD129,Plant1,6,Plant
DD130,Plant3,4,Plant
DD132,Plant1,-3,Plant
DD133,Plant5,6,Plant
DD134,Plant9,5,Plant
DD135,Plant10,5,Plant
DD136,Plant1,3,Plant
DD137,Plant3,5,Plant
DD138,Plant4,1,Plant
DD139,Plant6,1,Plant
DD140,Plant10,6,Plant
DD141,Plant10,2,Plant
DD144,Plant7,-1,Plant
DD145,Plant1,2,Plant
DD146,Plant4,-2,Plant
DD147,Plant6,0,Plant
