sample	measurement1	measurement2	measurement3
2-D10	41290040113.68630	64235676191.78480	83845565730.19030
2-D11	29813632146.131700	65875384712.51130	50778117903.70230
2-D14	16477705228.695800	71049070088.90060	24988685454.784700
2-D16	36664874854.70680	62378985174.20130	38759987312.76530
2-D18	45232566586	23205043819.98150	23302490408.603700
2-D1AM	151607834065.61500	382576130495.6520	232129633552.0990
2-D1PM	4096267649.934710	10337140648.66280	10365582304.646000
2-D21AM	96172168318.34640	171834286165.96600	94880822923
2-D21PM	205524335505.7950	67550021795.997500	255451308344.61200
2-D22AM	60558362970.23390	131404270275.09600	108060027697.29000
2-D22PM	91639598819.65690	142055911312.30600	138902900190.48400
2-D23AM	43242325772.83690	65089446895.78180	54184122357.55060
2-D23PM	74259662634	116235733670.36200	116350656076.98200
2-D24	143630016587.81500	208415609343.68900	252021284348.3550
2-D25	89980137212.24000	108978701111.47900	140199256911.42000
2-D28AM	55936838438	83114080565.91850	57890100372
2-D28PM	63820889495.675200	96676954233.46790	106023257192.80400
2-D29AM	142962109861.15300	135142386145.22100	344575257204.63900
2-D29PM	220169225575.79900	164956099752.55400	291378910039.1930
2-D2AM	3134399726.476830	7570235003.341430	13617737385.290300
2-D2PM	15867908408.618700	17650644345.766200	23635722122.004700
2-D30AM	339868862734.17300	118287277577.49000	524722802513.7390
2-D30PM	25206515656.455800	16295107582.372700	31571354937.895700
2-D31AM	338301306659.85900	376526767719.62300	486140925607.49100
2-D31PM	138056808192.3320	171631694275.74500	295954087488.3560
2-D32	148534736585.3570	125946712928.2870	161934915760.63700
2-D33	207677495441.8330	318158262068.8740	259373407076.14100
2-D35AM	106485075340.2730	207344906506.62700	227396044411.0430
2-D35PM	136222329854.88300	135568054061.92500	171527608413.36700
2-D36AM	134498186193.02500	110551288334.48900	243686248482.2820
2-D36PM	181893966582.63200	217267383880.46300	306651944680.18100
2-D37AM	33828915998.92720	65197173727.813400	39361520495.54890
2-D37PM	56948032511.98800	101208394204.99400	91948856327.64640
2-D38	81021152717.63620	118406981768.12000	125003359826.74500
2-D39	91848937099.79020	146434727666.10400	138367194661.71100
2-D3AM	11421116251.882200	24200245623.941100	18719856944.424300
2-D3PM	42832166048.32940	57391824083.53470	83134697320
2-D42AM	49234505957.061600	107087810892.8840	73994173958
2-D42PM	72178820630.74870	92113076663.31670	87845327232.98650
2-D43AM	15919674580.20940	29030089468.226600	31387176159.217600
2-D43PM	12379777544.748700	12837685830.30780	19963707682.41050
2-D44AM	16698034672.574200	20311933571.899100	21929225514.004800
2-D44PM	17427625601.405500	32965852668.08890	37710572441.037400
2-D45AM	14672546925.145800	14137963828.259800	14249820727.094500
2-D45PM	9901020987.322880	13896822731.418500	12923385124.110000
2-D46	12691494913.133700	16873397206.718900	16128096049.735600
2-D47	31046265445.988400	42387500795.523500	72251364334.10100
2-D4AM	45485919941.93150	67572063847.63980	85021835384.58890
2-D4PM	17691156654.74000	41790281503.75200	40465127119.00450
2-D5	18402114965.198500	29286254282.787400	29679010039.289000
2-D50AM	14073183972	23596253440.269400	23261247384.636700
2-D50PM	8229638305	32901375189.252800	11458743151.443600
2-D51AM	17929365519.00680	26160143175.008300	28461149080.756800
2-D51PM	25913718155.59160	11332185333.828500	30300366379.661700
2-D52AM	6842636329.841780	11864112528.830500	10852917348.47940
2-D52PM	18596443026.497000	59729122085.22420	28187947868.320200
2-D53	41973344114.23070	36769092519.88880	51373046901.74510
2-D54	36985979275.01040	40700420862.12560	55893394625.17330
2-D57AM	109837332975.4150	222684199159.65200	116660842708.86700
2-D57PM	49040509918.286400	69001767007	71415696801.09010
2-D58AM	66646977419.60060	68109926376.133400	67494149251.70490
2-D58PM	65989219216.003700	104329133741.5550	92464815959.99000
2-D59AM	69844309712	93298030323	104705966258.37200
