sample,ASV_1,ASV_2,ASV_3,ASV_4,ASV_5,ASV_6,ASV_7,ASV_8,ASV_9,ASV_10,ASV_11,ASV_12,ASV_13,ASV_14,ASV_15,ASV_16,ASV_17,ASV_18,ASV_19,ASV_20,ASV_21,ASV_22,ASV_23,ASV_24,ASV_25,ASV_26,ASV_28,ASV_29,ASV_30,ASV_31,ASV_32,ASV_33,ASV_34,ASV_35,ASV_36,ASV_37,ASV_38,ASV_39,ASV_40,ASV_41,ASV_42,ASV_43,ASV_44,ASV_45,ASV_46,ASV_47,ASV_48,ASV_49,ASV_50,ASV_52,ASV_53,ASV_54,ASV_57,ASV_58,ASV_59,ASV_60,ASV_61,ASV_62,ASV_63,ASV_64,ASV_65,ASV_66,ASV_67,ASV_69,ASV_70,ASV_74,ASV_75,ASV_76,ASV_77,ASV_78,ASV_79,ASV_80,ASV_81,ASV_83,ASV_84,ASV_85,ASV_86,ASV_88,ASV_89,ASV_94,ASV_95,ASV_96,ASV_101,ASV_102,ASV_103,ASV_105,ASV_107,ASV_108,ASV_109,ASV_111,ASV_113,ASV_114,ASV_115,ASV_117,ASV_118,ASV_120,ASV_121,ASV_122,ASV_123,ASV_124,ASV_127,ASV_128,ASV_129,ASV_130,ASV_132,ASV_133,ASV_134,ASV_136,ASV_137,ASV_140,ASV_141,ASV_144,ASV_145,ASV_147,ASV_148,ASV_151,ASV_152,ASV_153,ASV_154,ASV_156,ASV_157,ASV_160,ASV_165,ASV_166,ASV_169,ASV_170,ASV_171,ASV_172,ASV_173,ASV_174,ASV_177,ASV_180,ASV_187,ASV_192,ASV_197,ASV_206,ASV_207,ASV_220,ASV_227,ASV_261,ASV_276
2-D10,3802,8167,16800,134,812,7025,5862,1114,446,648,108,697,1577,868,1414,401,682,734,947,0,757,12,313,680,400,0,8,97,0,112,0,317,156,143,38,6,118,0,0,90,200,0,357,0,71,265,0,20,0,0,83,161,21,0,85,0,9,35,32,0,0,13,29,72,0,1,18,19,100,0,18,68,32,8,0,0,52,34,14,0,55,12,28,198,25,0,15,39,2,0,16,0,52,0,0,0,15,27,12,55,0,12,0,29,11,0,0,7,22,0,3,0,0,11,0,2,0,37,4,0,3,11,0,22,4,0,0,3,13,0,34,0,4,0,0,0,4,34,3,0,0
2-D11,2703,4850,6585,106,462,5749,2997,1634,330,392,59,1032,1070,987,871,336,366,348,562,0,1015,14,322,787,90,0,4,79,0,108,0,252,139,55,20,1,151,0,0,62,106,0,111,0,70,173,0,2,0,0,120,82,34,0,32,0,35,27,9,0,0,30,20,56,0,0,7,12,117,11,6,38,18,9,0,0,22,14,9,0,38,6,12,199,26,0,14,23,3,0,27,0,32,0,0,0,0,13,16,32,0,9,38,9,10,0,0,6,24,0,7,0,10,8,0,0,0,78,0,0,4,3,0,7,8,0,0,7,2,0,33,0,3,2,2,0,9,38,0,0,0
2-D14,2679,9892,16897,239,574,8460,6962,7863,604,379,138,593,2064,466,531,478,195,211,588,0,1539,9,399,868,355,3,0,198,0,144,0,246,183,132,42,0,137,0,0,57,50,0,97,0,70,102,4,12,0,2,108,249,59,0,65,0,561,22,31,0,0,560,50,97,0,0,26,15,220,6,12,58,17,25,0,0,12,18,17,0,82,12,16,192,34,0,23,30,0,0,27,0,75,0,0,0,12,53,16,84,0,11,93,33,11,0,0,26,29,0,5,0,22,9,0,0,0,104,0,0,4,7,0,21,0,0,0,10,20,0,27,0,0,0,1,0,5,50,3,0,0
2-D16,3456,5843,29384,423,982,6385,6167,9531,0,547,287,1565,3260,684,1120,474,326,366,376,0,988,51,521,678,705,15,7,340,0,149,0,488,187,159,24,1241,73,0,11,92,21,0,408,0,53,115,0,0,0,0,75,67,59,0,52,0,1181,59,15,0,0,1064,59,100,0,4,31,43,191,12,56,206,38,29,0,0,6,24,18,0,45,44,22,548,26,0,56,33,7,0,9,0,27,0,0,0,31,29,10,41,0,8,0,15,11,3,0,10,18,0,13,0,13,23,0,0,0,56,0,13,8,10,0,39,0,0,0,2,20,0,23,0,6,0,5,0,10,25,0,0,0
2-D18,5185,11122,35134,545,1661,7960,9937,3109,0,1250,417,596,1920,2906,2003,540,599,674,669,15,1428,54,943,1094,908,8,19,476,17,164,0,362,460,294,41,109,118,0,7,222,37,0,906,0,107,297,37,30,0,0,122,203,163,0,129,47,1277,58,0,0,0,1186,106,113,0,3,34,84,328,22,151,262,115,61,0,0,8,54,11,0,69,93,36,272,42,8,54,86,16,38,61,0,53,0,0,0,51,64,51,50,0,26,63,27,34,12,7,31,26,0,6,0,9,23,0,0,0,132,7,44,11,32,0,43,11,3,0,6,18,0,38,0,11,3,15,0,19,46,0,0,0
2-D1AM,9,195,705,1334,321,1641,2,1744,6985,4,808,0,3992,1854,49,0,216,138,23,0,0,0,1649,0,0,0,15,0,0,10,282,0,0,0,0,0,35,130,0,74,3,0,0,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-D1PM,32,517,2687,4481,1097,6157,6,193,8440,4,2388,0,8239,3354,285,9,5,0,0,0,0,0,1277,165,0,0,19,0,0,27,0,0,0,7,0,0,0,204,0,340,2,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-D21AM,3810,8563,15368,245,1305,6099,4612,3451,5,586,192,475,1918,1197,1228,380,219,282,421,10,923,72,598,520,266,55,11,150,32,100,0,196,201,184,11,37,95,0,12,173,10,0,306,0,34,270,428,24,0,7,46,49,75,11,42,22,113,0,4,0,0,96,41,5,0,1,16,79,102,9,97,160,17,29,0,0,0,18,0,3,36,64,30,236,17,37,20,27,4,69,13,0,44,4,0,0,23,39,19,56,0,5,81,12,11,5,5,18,11,0,113,0,6,39,1,11,0,66,5,32,1,0,1,28,14,0,0,0,10,0,8,0,0,0,3,0,15,17,0,0,0
2-D21PM,6504,12682,20073,315,1810,9117,6408,5118,0,801,255,4350,2851,1349,1473,1026,386,420,565,24,1527,137,889,787,520,80,11,335,55,145,0,628,395,216,25,325,172,0,17,257,15,0,411,0,65,383,856,43,0,26,65,58,165,16,98,30,257,45,8,0,0,218,92,4,0,0,15,100,515,15,64,276,26,54,0,0,2,44,14,8,80,67,24,1344,43,122,44,75,13,55,37,0,31,1,0,0,27,58,46,66,0,20,41,28,9,9,7,56,33,0,152,0,45,134,0,0,0,126,11,22,4,8,0,17,16,0,0,12,22,2,10,0,5,11,0,0,11,54,0,0,0
2-D22AM,1087,20989,2630,50,1086,1035,688,3777,9,829,29,1468,4619,819,501,687,17,11,1171,100,283,399,936,595,281,128,0,120,89,173,0,319,207,1183,35,21,90,0,12,23,0,0,79,0,277,302,338,70,3,40,227,117,58,29,32,21,42,13,20,0,0,24,44,24,0,27,6,138,281,123,222,23,2,17,0,0,3,11,6,15,18,213,18,106,150,40,44,60,114,29,89,0,18,0,0,0,33,11,30,0,0,1,12,24,0,51,6,35,6,1,55,0,4,23,16,51,0,98,2,80,1,0,0,5,26,5,0,20,45,9,2,0,8,15,11,0,37,35,18,0,3
