"","m3_T1","m3_T2","m3_T3","m3_T4","m3_T5","m3_T6","m3_T7","m3_T8","m3_T9","m3_T10","m3_T11","m3_T12","m3_T13","m3_T14","m3_T15","m3_T16","m3_T17","m3_T18","m3_T19","m3_T20","m3_T21","m3_T22","m3_T23","m3_T24","m3_T25","m3_T26","m3_T27","m3_T28","m3_T29","m3_T30","m3_T31","m3_T32","m3_T33","m3_T34","m3_T35","m3_T36","m3_T37","m3_T38","m3_T39","m3_T40","m3_T41","m3_T42","m3_T43","m3_T44","m3_T45","m3_T46","m3_T47","m3_T48","m3_T49","m3_T50","m3_T51","m3_T52","m3_T53","m3_T54","m3_T55","m3_T56","m3_T57","m3_T58","m3_T59","m3_T60","m3_T61","m3_T62","m3_T63","m3_T64"
"ASV_1",-7.25834850282901,-0.604007482528687,-3.41062331199646,-0.0720935016870499,-2.98416566848755,-0.106124207377434,-2.95414543151855,-0.701615750789642,-3.22263121604919,-1.04636132717133,-3.28268122673035,-1.30358469486237,-3.34866714477539,-1.49469637870789,-3.27331042289734,-1.48909914493561,-3.03689312934875,-1.35558116436005,-2.71979856491089,-1.16627204418182,-2.38722157478333,-1.35129857063293,-2.5526008605957,-1.3381165266037,-2.35153484344482,-1.21083617210388,-2.12732744216919,-1.13278937339783,-1.64070343971252,-0.715721130371094,-1.50022542476654,-0.77464109659195,-1.52958261966705,-0.87754499912262,-1.5255845785141,-0.965308427810669,-1.58678805828094,-1.05038940906525,-1.55444085597992,-1.01599478721619,-1.43278050422668,-0.942968428134918,-1.26599228382111,-0.774843096733093,-1.09974825382233,-0.731348395347595,-1.0977748632431,-0.816030144691467,-1.1557422876358,-0.883391439914703,-1.15903151035309,-0.907271146774292,-1.12117600440979,-0.865401566028595,-1.05757737159729,-0.829836010932922,-1.00040471553802,-0.804438948631287,-0.958850085735321,-0.826579809188843,-1.0117621421814,-0.906241655349731,-1.07388806343079,-0.971972584724426
"ASV_2",-4.79661555347357,3.61986947059631,-2.26581597328186,0.160344794392586,-3.84933638572693,0.326530963182449,-3.11470198631287,0.0907375067472458,-3.29774498939514,-0.37512731552124,-3.23605632781982,-0.389022588729858,-2.96811819076538,-0.553663909435272,-3.16370725631714,-1.20431685447693,-3.69322180747986,-1.93555068969727,-4.15889978408813,-2.55029249191284,-4.5700421333313,-3.16220021247864,-4.98395824432373,-3.69709205627441,-5.35363912582397,-4.17216062545776,-5.54452991485596,-4.3803563117981,-5.62121295928955,-4.73522853851318,-6.03748989105225,-5.30173301696777,-6.45593166351318,-5.81423234939575,-6.84867143630981,-6.20479393005371,-7.30873203277588,-6.81633758544922,-7.56236267089844,-6.90270948410034,-7.42852210998535,-6.81674671173096,-7.3611888885498,-6.59635543823242,-6.94289302825928,-6.485924243927,-7.06358337402344,-6.87188673019409,-7.46572113037109,-7.23064661026001,-7.96169996261597,-8.21989822387695,-8.82179355621338,-8.67607879638672,-9.03573131561279,-8.83942031860352,-9.1285400390625,-8.60763740539551,-8.26574039459229,-7.78196954727173,-7.8615870475769,-7.67438316345215,-7.89943838119507,-7.83282375335693
"ASV_3",-2.8765156539714,2.25172710418701,-2.65209746360779,3.56881427764893,-3.48154354095459,1.73141098022461,-5.22416973114014,-0.258208006620407,-6.47059679031372,-1.63335371017456,-7.11452484130859,-2.69383096694946,-7.79345512390137,-3.80018138885498,-8.34544563293457,-4.51563835144043,-8.44454288482666,-4.8082127571106,-8.28651523590088,-4.95634889602661,-8.11511135101318,-5.44630241394043,-8.53799629211426,-5.91269207000732,-8.50361251831055,-6.08911800384521,-8.52818012237549,-6.49753332138062,-8.51950645446777,-6.58500480651855,-8.69302749633789,-7.19075202941895,-9.13091468811035,-7.68733072280884,-9.30474472045898,-8.03134346008301,-9.64213848114014,-8.40753078460693,-9.568359375,-8.26194286346436,-9.2545280456543,-8.12477779388428,-8.98047924041748,-7.84713506698608,-8.76828765869141,-8.10299110412598,-9.1854190826416,-8.67278575897217,-9.6054277420044,-9.04118061065674,-9.77759647369385,-9.21279430389404,-9.83882713317871,-9.30127620697021,-9.81973457336426,-9.35009384155273,-9.83944034576416,-9.4407787322998,-9.89431858062744,-9.57192993164062,-10.0350799560547,-9.80361938476562,-10.197301864624,-9.92625141143799
"ASV_4",-2.03904943732003,0.51039457321167,-3.75443458557129,0.880709707736969,-4.29940795898438,-0.320650011301041,-4.54173183441162,-0.681257545948029,-4.35747957229614,-0.788149356842041,-4.09376239776611,-0.825489699840546,-3.86625647544861,-0.896260380744934,-3.62259960174561,-0.83805376291275,-3.2563054561615,-0.707350671291351,-2.9253454208374,-0.658344686031342,-2.72068691253662,-1.06177914142609,-3.19063639640808,-1.48460364341736,-3.22448945045471,-1.60497438907623,-3.20620727539062,-1.81617188453674,-2.97651124000549,-1.54296576976776,-2.85550689697266,-1.79229879379272,-3.06151747703552,-2.05973410606384,-3.10308027267456,-2.12073254585266,-3.00772333145142,-2.08533906936646,-2.85767674446106,-1.98465609550476,-2.66105937957764,-1.90301084518433,-2.56974363327026,-1.96520960330963,-2.63775110244751,-2.15916275978088,-2.84326386451721,-2.46100306510925,-3.06387209892273,-2.66028332710266,-3.12553191184998,-2.86454796791077,-3.34756088256836,-3.03623914718628,-3.38254237174988,-3.01790976524353,-3.28746509552002,-2.94550561904907,-3.02416443824768,-2.62903666496277,-2.78460097312927,-2.54209160804749,-2.79153251647949,-2.6355037689209
"ASV_5",-3.88516326544108,0.968845367431641,-4.84028434753418,-0.666060507297516,-6.27357387542725,-1.10040688514709,-6.03991079330444,-1.42144870758057,-6.00381135940552,-1.80603444576263,-5.95183658599854,-2.08355665206909,-5.75528240203857,-2.14488410949707,-5.44371557235718,-2.15661311149597,-5.18004608154297,-2.20076489448547,-4.95932626724243,-2.25124073028564,-4.76225519180298,-2.44191551208496,-4.67305088043213,-2.45957779884338,-4.55691957473755,-2.57903122901917,-4.4642825126648,-2.64200806617737,-4.18253517150879,-2.5839958190918,-4.09825086593628,-2.60319805145264,-3.96514916419983,-2.65955853462219,-3.94513297080994,-2.82053136825562,-3.95348930358887,-2.83420491218567,-3.84702777862549,-2.90842628479004,-3.85793614387512,-3.0320131778717,-3.88027119636536,-3.15653038024902,-3.98305439949036,-3.2875919342041,-3.92693638801575,-3.24562239646912,-3.80203700065613,-3.20579242706299,-3.7448742389679,-3.2351188659668,-3.63449859619141,-3.12050914764404,-3.54073810577393,-3.1759557723999,-3.60728144645691,-3.29930186271667,-3.69890022277832,-3.52209997177124,-3.93272757530212,-3.69703507423401,-3.95498633384705,-3.67590713500977
"ASV_6",-2.41503587184408,1.76545286178589,-2.25050592422485,1.36294960975647,-3.0524320602417,0.667224109172821,-3.47681903839111,-0.210634171962738,-4.10982370376587,-1.02232265472412,-4.37921333312988,-1.4991250038147,-4.61457824707031,-2.15408372879028,-5.08491849899292,-2.90026378631592,-5.50811195373535,-3.48090195655823,-5.78224945068359,-3.9482045173645,-6.03595733642578,-4.6815037727356,-6.63402080535889,-5.19090175628662,-6.8691840171814,-5.55110597610474,-7.07281255722046,-5.93205785751343,-7.10887622833252,-6.12756443023682,-7.49831008911133,-6.73163414001465,-7.95279932022095,-7.19545269012451,-8.20213794708252,-7.54492902755737,-8.5742712020874,-7.9686107635498,-8.67537975311279,-7.9137077331543,-8.46048259735107,-7.80393314361572,-8.26733589172363,-7.56752109527588,-8.02268695831299,-7.65004110336304,-8.33814907073975,-8.15145683288574,-8.77604866027832,-8.52514839172363,-8.9745569229126,-8.86554908752441,-9.36003303527832,-9.12203216552734,-9.43241119384766,-9.16627311706543,-9.43166637420654,-9.18782424926758,-9.22167778015137,-8.88140773773193,-9.07585430145264,-8.95328712463379,-9.22584629058838,-9.15487003326416
"ASV_7",-9.21034037197618,-3.48329019546509,-3.31192445755005,-0.266406267881393,-1.23529934883118,-0.515754461288452,-1.39096033573151,-0.698625266551971,-1.50606977939606,-0.883787274360657,-1.62409663200378,-1.17514681816101,-1.9280458688736,-1.58643364906311,-2.22473835945129,-1.9029586315155,-2.42975616455078,-2.16042947769165,-2.60619163513184,-2.37318062782288,-2.7196991443634,-2.57863068580627,-3.0430223941803,-2.88415026664734,-3.01757264137268,-2.73784470558167,-2.80727577209473,-2.58808517456055,-2.59641313552856,-2.23868036270142,-2.29390287399292,-2.26053476333618,-2.45693278312683,-2.46630334854126,-2.60150957107544,-2.58518624305725,-2.87622714042664,-2.96241188049316,-3.132488489151,-3.17592978477478,-3.27788639068604,-3.27967858314514,-3.32094979286194,-3.09979248046875,-3.0117404460907,-2.8853747844696,-2.83708930015564,-2.77752327919006,-2.78317594528198,-2.7670168876648,-2.7891218662262,-2.76743340492249,-2.78568315505981,-2.76367592811584,-2.75405240058899,-2.71893286705017,-2.70158100128174,-2.67294311523438,-2.68692016601562,-2.69691181182861,-2.7576117515564,-2.83971047401428,-2.94900822639465,-3.06031203269958
"ASV_8",-4.85521491864991,-1.21719348430634,-2.06963324546814,0.313780009746552,-2.66985607147217,-1.0274623632431,-3.11847710609436,-0.743256986141205,-2.42782592773438,-0.451522707939148,-2.17464995384216,-0.557838499546051,-2.20816206932068,-0.841570138931274,-2.3687846660614,-1.20294487476349,-2.6098256111145,-1.64822959899902,-2.97321653366089,-2.19970369338989,-3.41993379592896,-2.75720691680908,-3.87150621414185,-3.22415089607239,-4.0374550819397,-3.39651536941528,-4.16690921783447,-3.6747555732727,-4.38498401641846,-3.87233996391296,-4.49084138870239,-4.13794136047363,-4.70798969268799,-4.31668376922607,-4.72807264328003,-4.34217643737793,-4.72151374816895,-4.33513021469116,-4.63163232803345,-4.34922122955322,-4.69531011581421,-4.50375747680664,-4.8410701751709,-4.68891859054565,-5.07459354400635,-4.99688482284546,-5.27278518676758,-5.106032371521,-5.28029584884644,-5.0919132232666,-5.07733821868896,-4.88656806945801,-5.06750059127808,-4.99234485626221,-5.14744567871094,-5.05340814590454,-5.19081020355225,-5.27696752548218,-5.44175243377686,-5.35170936584473,-5.43159770965576,-5.37885618209839,-5.48817825317383,-5.4501895904541
"ASV_9",-1.49439218887372,4.4124264717102,-6.56893587112427,0.921921133995056,-8.39024639129639,-0.416435778141022,-7.84831237792969,-1.35057306289673,-9.06422519683838,-3.42246079444885,-10.0471429824829,-4.41051483154297,-10.0568294525146,-4.64425325393677,-9.54671573638916,-4.39499282836914,-8.72136878967285,-3.94062852859497,-7.84090566635132,-3.47369956970215,-7.03125476837158,-3.03256130218506,-6.32061719894409,-2.81291031837463,-6.01947641372681,-3.20570945739746,-6.28537702560425,-3.72806715965271,-6.47291135787964,-4.10259532928467,-6.54584312438965,-4.33216142654419,-6.32123231887817,-4.27706670761108,-6.19332504272461,-4.00950813293457,-5.50240755081177,-3.80254936218262,-5.26397562026978,-3.77129697799683,-5.12322330474854,-3.77957153320312,-5.47297382354736,-4.5546669960022,-5.79331159591675,-4.81284141540527,-5.87590456008911,-4.962233543396,-5.93189716339111,-5.17263507843018,-5.99689674377441,-5.35562038421631,-6.14908123016357,-5.47625064849854,-6.14642095565796,-5.62159109115601,-6.2766170501709,-5.9136815071106,-6.45818853378296,-6.02552127838135,-6.52577257156372,-6.07541227340698,-6.35359144210815,-5.82599401473999
"ASV_10",-7.46989539982277,-1.18395519256592,-5.11083173751831,-1.0715788602829,-4.98176670074463,-1.3131833076477,-4.64695262908936,-1.6982182264328,-4.82059860229492,-2.1087486743927,-4.82303905487061,-2.42378234863281,-4.92001914978027,-2.75668048858643,-4.90736055374146,-2.85448694229126,-4.69022369384766,-2.78985977172852,-4.39323329925537,-2.6684832572937,-4.08332061767578,-2.55308055877686,-3.78999209403992,-2.41499280929565,-3.59882235527039,-2.43724751472473,-3.53445720672607,-2.53959822654724,-3.53104639053345,-2.69981002807617,-3.59981322288513,-2.79101967811584,-3.53942465782166,-2.81118535995483,-3.48780727386475,-2.8463704586029,-3.45910716056824,-2.82540345191956,-3.29344153404236,-2.7609429359436,-3.2545223236084,-2.80504179000854,-3.22410154342651,-2.78860926628113,-3.22899127006531,-2.94871878623962,-3.34459161758423,-3.0348105430603,-3.35945582389832,-3.09462261199951,-3.36681914329529,-3.15211653709412,-3.40290141105652,-3.18573355674744,-3.44069862365723,-3.28096890449524,-3.48564195632935,-3.34872508049011,-3.51524496078491,-3.39796185493469,-3.57831931114197,-3.4295928478241,-3.5322253704071,-3.3942608833313
