"","m4_T1","m4_T2","m4_T3","m4_T4","m4_T5","m4_T6","m4_T7","m4_T8","m4_T9","m4_T10","m4_T11","m4_T12","m4_T13","m4_T14","m4_T15","m4_T16","m4_T17","m4_T18","m4_T19","m4_T20","m4_T21","m4_T22","m4_T23","m4_T24","m4_T25","m4_T26","m4_T27","m4_T28","m4_T29","m4_T30","m4_T31","m4_T32","m4_T33","m4_T34","m4_T35","m4_T36","m4_T37","m4_T38","m4_T39","m4_T40","m4_T41","m4_T42","m4_T43","m4_T44","m4_T45","m4_T46","m4_T47","m4_T48","m4_T49","m4_T50","m4_T51","m4_T52","m4_T53","m4_T54","m4_T55","m4_T56","m4_T57","m4_T58","m4_T59","m4_T60","m4_T61","m4_T62","m4_T63","m4_T64"
"ASV_1",-7.57584832874162,-4.39591817052156,-4.02931140351043,-3.33420716324874,-3.33465811446056,-3.26407370407536,-3.32073896856644,-2.87746930336883,-2.68435953569282,-2.45558665753385,-2.3176048923405,-2.38675341376159,-2.45590193518267,-2.52505045660376,-2.59867573873029,-2.67230102085683,-2.79389743297096,-2.91549384508509,-2.90810980633904,-2.900725767593,-2.89334172884695,-4.7354672955117,-4.60712241448948,-5.35153453276854,-4.66617335422569,-4.61668703795894,-4.56720072169219,-4.51771440542544,-2.57114402388265,-2.29532831518692,-2.74398971020445,-2.71519992958505,-2.99079862989961,-2.91704002811141,-2.84328142632321,-3.32666666032972,-2.84590980253752,-3.07065862846415,-3.2145226697638,-2.94727609489035,-2.6800295200169,-2.41278294514345,-2.5895712963285,-1.36560817340267,-1.25164668531858,-1.30010007718629,-1.09367467374432,-1.2273845523069,-1.36109443086947,-1.49480430943205,-0.67108942102088,-0.613935821103564,-0.701900781689173,-1.38780195665078,-1.88180465121499,-2.3758073457792,-2.86981004034341,-1.72300381227518,-1.33698889611485,-0.97933464631935,-1.01584802621242,-0.991860738497,-0.97103837240242,-1.459553567579
"ASV_2",-5.31984776729085,-3.74643804601594,-1.93911104002531,-2.19225750884705,-1.975885667387,-1.97013742160976,-1.79646443567922,-3.51765227764353,-1.86870921240339,-1.91904706643209,-2.29345316031219,-2.17983177458281,-2.06621038885343,-1.95258900312405,-1.86876796880795,-1.78494693449184,-1.9018574998574,-2.01876806522295,-2.03473239190047,-2.05069671857798,-2.0666610452555,-0.87481701762244,-0.917593951233886,-1.23200719194028,-0.830244012657039,-0.845289865770343,-0.860335718883648,-0.875381571996953,-1.50918824750324,-1.50261379462127,-1.69490176419915,-1.63247292458636,-1.57813562224643,-1.8735225530616,-2.16890948387677,-2.01002469200491,-2.486574464431,-2.60131262439301,-4.54751387965871,-5.47669970723007,-6.40588553480143,-7.33507136237279,-9.21034037197618,-8.97179302316886,-8.34305854991487,-1.96226361480277,-2.56824067783058,-2.4229087163389,-2.27757675484722,-2.13224479335554,-3.89778205012973,-3.02150729417139,-2.29018135577122,-6.56257925843974,-7.44516629628522,-8.3277533341307,-9.21034037197618,-9.21034037197618,-8.90636662458901,-9.21034037197618,-9.21034037197618,-9.04903870676189,-7.94456956000251,-8.51051017114687
"ASV_3",-3.22356115934212,-2.17851892357064,-1.7223937367899,-1.52202087367329,-1.31365715975694,-1.47114061790339,-1.95577775283888,-1.40918445544918,-1.38503629224221,-1.52166867600353,-1.63489184614262,-1.6516256353359,-1.66835942452919,-1.68509321372247,-1.53185311128941,-1.37861300885636,-1.34631119209449,-1.31400937533261,-1.38541846672659,-1.45682755812057,-1.52823664951454,-4.05201724781519,-7.62001704740642,-8.55695989371495,-7.94986044865482,-8.37002042309528,-8.79018039753573,-9.21034037197618,-7.60448553589645,-6.76478140770641,-6.94054035516871,-6.0210280037067,-6.2110496374246,-6.65210173662703,-7.09315383582945,-7.19999748554797,-5.90434934723882,-6.32038469558404,-7.15320236922444,-5.84156354245742,-4.5299247156904,-3.21828588892338,-3.25240938646367,-2.40794503991066,-2.29909108910505,-2.69906710241903,-3.23460280600776,-3.38775492017993,-3.5409070343521,-3.69405914852427,-5.29073091251408,-7.12873099773342,-8.25348782951326,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-8.3261869935207,-8.21781479713486,-8.42954322479378,-8.33474036370079,-9.21034037197618,-9.21034037197618
"ASV_4",-2.53326862527124,-1.7114550316592,-2.28087632441519,-2.81292367092444,-3.69844936409843,-4.56378854813585,-4.87138613506194,-4.93164062552221,-4.79990282568597,-5.41878833332962,-5.51816270675237,-5.73556691935153,-5.9529711319507,-6.17037534454986,-6.27002830293263,-6.36968126131539,-6.45809196245361,-6.54650266359183,-6.51533507774926,-6.48416749190668,-6.45299990606411,-6.43510103829147,-6.81621552080917,-7.04890875983288,-6.35236326347239,-6.56038819932301,-6.76841313517363,-6.97643807102425,-3.53339299955248,-2.45322720925726,-2.05630534985352,-2.07812222071705,-1.7808828731222,-1.79509375014799,-1.80930462717377,-1.85103312890064,-2.01675840973627,-2.64636696698751,-1.96623637283177,-2.48080226435654,-2.99536815588131,-3.50993404740608,-3.98480928781815,-3.04387742635858,-3.07231567660055,-2.93193641390801,-2.33573180003495,-2.23594453708045,-2.13615727412596,-2.03637001117146,-3.12740013129677,-3.32588981890745,-3.67225464134157,-3.71363161686927,-4.08916841752589,-4.46470521818251,-4.84024201883913,-4.65491359540564,-6.37797995190152,-4.78868865518645,-4.8767365288403,-4.05163621914752,-3.39313829383019,-2.77487607765509
"ASV_5",-4.15899081907629,-2.75519980307705,-2.74774611685471,-2.81668528429636,-3.47336158599669,-3.61682047517906,-3.706927444306,-3.59096816477342,-3.76964682547611,-3.95397772697122,-3.95269028267823,-4.1472802058975,-4.34187012911678,-4.53646005233605,-4.59084708245124,-4.64523411256643,-4.5773159908458,-4.50939786912518,-4.41350478023141,-4.31761169133765,-4.22171860244389,-4.42325543706867,-4.42353685576178,-3.595262543228,-3.57467230580874,-3.7448681598253,-3.91506401384187,-4.08525986785844,-3.20912896646736,-4.45734247354432,-4.89459104229965,-4.91980592403026,-5.08385078479887,-4.74217745682749,-4.40050412885611,-4.10348717998405,-3.03487311729357,-5.38980378303624,-3.32610359536792,-3.31153227561443,-3.29696095586094,-3.28238963610745,-7.13697812237034,-6.07089257444194,-4.5234032609335,-4.60713731168004,-3.9382509526818,-3.80545265842256,-3.67265436416332,-3.53985606990408,-4.64179642859494,-2.77880507207044,-2.07346413702745,-1.40733277329856,-1.24528104226491,-1.08322931123127,-0.921177580197623,-0.650493598301478,-0.990741626656763,-2.06153139779091,-2.12130698310205,-2.70541591787991,-3.96787162688764,-2.87747399361675
"ASV_6",-3.08666165642307,-2.23286545401321,-2.05759566527783,-1.56054612734655,-1.98312563773882,-1.74431306647644,-1.79812364469892,-1.78713988780781,-2.63685814638595,-2.2947497217294,-1.90358277779833,-1.9584556138187,-2.01332844983907,-2.06820128585944,-2.24297899747864,-2.41775670909783,-2.44541696134352,-2.47307721358921,-2.30584431459401,-2.13861141559881,-1.97137851660361,-3.66595921147465,-4.27548103692158,-3.9762584099568,-3.96051214615113,-4.60137679688271,-5.2422414476143,-5.88310609834589,-4.50361397247425,-4.65181420021188,-4.49558010850488,-4.19828696455345,-4.23910447779552,-3.79180144832264,-3.34449841884975,-3.87827311439859,-3.64198103779907,-3.45750942579371,-6.63226734821265,-6.8665353529327,-7.10080335765274,-7.33507136237279,-6.84173677780883,-5.85175156714551,-4.75452187642833,-4.84914499352839,-4.77655839341957,-4.52763921487035,-4.27872003632113,-4.0298008577719,-5.51381301023918,-6.385750047676,-7.50745405923743,-8.80809087349163,-8.94217403965315,-9.07625720581467,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618
"ASV_7",-8.71875843837872,-9.21034037197618,-8.32773326095669,-8.35494870287354,-8.2582617752902,-4.60459524070262,-2.5980161442686,-2.83036589670323,-2.59649205388984,-2.73591974698652,-2.46036880667479,-2.44951051518088,-2.43865222368697,-2.42779393219306,-2.62716893012113,-2.8265439280492,-2.63213456462183,-2.43772520119447,-2.56459422718008,-2.69146325316569,-2.81833227915131,-4.60931869725027,-4.3083119959105,-6.39646198944054,-5.95803160403635,-5.64290678108467,-5.32778195813299,-5.0126571351813,-3.66502046667337,-3.45293969808661,-2.58976462175274,-2.505183952353,-2.81988730673885,-2.72344143393932,-2.62699556113978,-1.68772033012507,-2.60081593084044,-6.02586421482176,-5.90081663110813,-5.25715251231927,-4.61348839353041,-3.96982427474155,-3.83506024020789,-5.85175156714551,-6.23689787211922,-5.72217391540355,-5.36661095442133,-4.67227701521044,-3.97794307599956,-3.28360913678867,-2.43044389592139,-3.07238386678448,-3.68815083757211,-3.35352278239857,-3.20491369408326,-3.05630460576796,-2.90769551745265,-3.89446278903168,-3.05327751115606,-2.51002372854299,-2.22899026780876,-1.94697861744142,-1.75248079128132,-1.74908089674638
"ASV_8",-1.95394044229375,-5.53050804282507,-5.22130016413981,-3.28425648944576,-2.73872401785431,-2.28614112004532,-2.11016166334532,-1.84009657434002,-4.10587427304914,-4.69177331665435,-3.30034826820748,-2.84073787452406,-2.38112748084064,-1.92151708715722,-1.92474363434487,-1.92797018153253,-2.16027971888991,-2.39258925624729,-2.5678120090476,-2.74303476184791,-2.91825751464822,-3.3135421572322,-3.77375197419345,-3.59414366662439,-3.62396049045436,-3.20331288430811,-2.78266527816187,-2.36201767201562,-2.27266018229216,-2.3893003142565,-2.09912593317511,-2.39663180026883,-2.18721381934289,-2.28850571282148,-2.38979760630006,-3.46938386339174,-2.84810562720452,-5.655420282578,-6.27177345516372,-4.71663744889277,-3.16150144262183,-1.60636543635089,-2.01723426304999,-3.59460883148095,-5.4997205725116,-5.07054543227566,-5.95505944481256,-5.96228775692166,-5.96951606903075,-5.97674438113985,-6.46199910123842,-4.96737178722462,-6.14861847074922,-5.96154788197938,-5.98372176474399,-6.00589564750859,-6.0280695302732,-6.0904865399914,-7.65642542097724,-5.75064465189619,-6.39374580391755,-6.75268481523924,-6.57244752575307,-6.71321543435629
"ASV_9",-1.30231763492664,-1.83000271348558,-2.91701225870841,-4.54451104145837,-5.11059503213209,-6.03558052059083,-6.27247248198331,-9.21034037197618,-6.66576946437294,-3.71327256254701,-6.36493220059319,-6.58341301604694,-6.8018938315007,-7.02037464695445,-8.11535750946532,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-8.33966002792872,-4.89799132279444,-7.60181260713491,-8.30444357781053,-8.38788456573926,-8.47132555366799,-8.55476654159673,-8.05595800489139,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-7.89890514108064,-3.55139407594888,-1.18251554260456,-1.04845190488743,-1.20198753949102,-1.35552317409461,-1.5090588086982,-1.43177519844757,-2.70075773361453,-2.61035714908539,-2.45356483264298,-3.52062810568331,-3.91016961696518,-4.29971112824705,-4.68925263952891,-5.51381301023918,-4.8249419979233,-6.04870400646228,-3.9482517692082,-3.54382363760732,-3.13939550600644,-2.73496737440556,-4.72356200552702,-5.70399510449643,-5.50208360445555,-5.67522522687794,-5.8428272753242,-5.71921665345947,-7.16186434895971
"ASV_10",-8.25974437322543,-5.69527967655483,-4.4659096860717,-4.29104800486098,-4.69438589383964,-4.76215887432259,-5.23101753586451,-4.86547587001385,-4.94971903902038,-4.88971749769849,-4.05279675341389,-4.22292496631333,-4.39305317921276,-4.56318139211219,-4.68657189231204,-4.80996239251189,-4.73115155468926,-4.65234071686663,-4.59582962854709,-4.53931854022756,-4.48280745190802,-3.85566854878071,-3.5021667610051,-4.35883825215635,-4.35512257360865,-4.45389917666178,-4.55267577971492,-4.65145238276805,-3.99542438742464,-4.28605706342649,-4.39331402132325,-4.25259191766561,-4.15424772138292,-4.04765184858107,-3.94105597577922,-3.49654478892397,-3.40307205961547,-5.47966331962666,-6.23346281278105,-5.1556881917534,-4.07791357072575,-3.0001389496981,-2.55991320841646,-2.37525865702608,-2.22629976846616,-2.23280020584909,-1.99780984368461,-2.0616096465309,-2.12540944937718,-2.18920925222346,-2.50983095986821,-3.12126249361023,-3.49522877584399,-2.17881696117898,-2.31952380986439,-2.4602306585498,-2.60093750723522,-3.09768401066045,-5.04784570975527,-4.61276151223288,-3.95989077013583,-3.41474240479069,-3.33572434314685,-2.88108202112585
