"","m3_T1","m3_T2","m3_T3","m3_T4","m3_T5","m3_T6","m3_T7","m3_T8","m3_T9","m3_T10","m3_T11","m3_T12","m3_T13","m3_T14","m3_T15","m3_T16","m3_T17","m3_T18","m3_T19","m3_T20","m3_T21","m3_T22","m3_T23","m3_T24","m3_T25","m3_T26","m3_T27","m3_T28","m3_T29","m3_T30","m3_T31","m3_T32","m3_T33","m3_T34","m3_T35","m3_T36","m3_T37","m3_T38","m3_T39","m3_T40","m3_T41","m3_T42","m3_T43","m3_T44","m3_T45","m3_T46","m3_T47","m3_T48","m3_T49","m3_T50","m3_T51","m3_T52","m3_T53","m3_T54","m3_T55","m3_T56","m3_T57","m3_T58","m3_T59","m3_T60","m3_T61","m3_T62","m3_T63","m3_T64"
"ASV_1",0.000604270175909763,0.0149897671331379,0.0163544678404543,0.0351061772398955,0.0308165831503481,0.0246302165874274,0.0250354518687863,0.0310686545844121,0.0203321448659509,0.0207197906412811,0.0199016533085531,0.0249403984915867,0.0312548642112727,0.0391680402385767,0.0542608827061857,0.0646018183809836,0.0778873915302368,0.0895088902864329,0.0798293870711238,0.0769078709937442,0.0634974139656389,0.0274075095000887,0.0112963423737248,0.00594073929200078,0.0119451170298628,0.0111173006077246,0.0105226700019231,0.0096297990192342,0.0525356817491649,0.0916433163013023,0.0742285237698082,0.0822973211488606,0.0819408093416549,0.0771354317687207,0.0726118631434686,0.0941369567024018,0.140606201168336,0.185748908715443,0.218204261407471,0.156250865983769,0.111887517464715,0.0801199818895261,0.0882139783485074,0.226194846437933,0.282533435370431,0.280686828768502,0.24530223390276,0.309976603214977,0.430091650051307,0.494975539974922,0.662158562930959,0.563695069729098,0.507529913354422,0.10558583106267,0.130636720462037,0.16950469852017,0.199979059784316,0.320041189342258,0.305486066670544,0.287496600489529,0.175713150024824,0.183003904851436,0.111796363636364,0.108355397660623
"ASV_2",0.00815764737478179,0.0300330983794896,0.12757647158717,0.132323207837867,0.127545370943828,0.0834819070258849,0.0808784025787966,0.0190161592714936,0.0968576202137642,0.137727752870781,0.14043442908584,0.144927685828209,0.142562636586673,0.143638804397696,0.147765225137018,0.130271661737321,0.137763577536543,0.145686352981534,0.142724709007631,0.139823272011296,0.136980818050625,0.357626305595276,0.41873600398109,0.495672794836691,0.445771679669985,0.374933246904599,0.320903723901904,0.265238712300226,0.288743799979755,0.163622877863854,0.191373763850828,0.161519354170979,0.166951330079144,0.132291760833557,0.108052222836671,0.105480761239924,0.0701871367069159,0.149220092745727,0.0707607902990222,0.0208253399832769,0.00680874733493767,0.00222607908240265,0.00022648004710785,0.00073251264096029,0.0299369556503043,0.0355123771886492,0.160988830486202,0.164470606321984,0.168027684046028,0.171661692245201,0.00803813998063623,0.0343493095788775,0.0020286067941136,0.000340599455040871,0.000229967212162034,0.000162913610800669,0.000109857717020014,0,0.000145441852347431,0.000203970628229535,0.157021246154947,0.25091185030955,0.243527897946098,0.187518852431545
"ASV_3",0.0562306969249362,0.142227630584288,0.145322549831242,0.137664233576643,0.210564420273077,0.232980058108822,0.215963870338664,0.1947742761063,0.148902570205754,0.167773394221381,0.148371858907345,0.178875889507815,0.215651297215711,0.259987425444782,0.234613181649331,0.211715412421952,0.183470325306623,0.153724772740266,0.174082180304191,0.197135471126109,0.223241654640641,0.0434579479162429,0.00634486190594675,0.00198024643066693,0.000986458613577258,0.000647943840655791,0.000425575372552665,0.000288090338124891,0.00258123291831157,0.00916433163013021,0.0103657810079828,0.00952183812875181,0.00740602260634473,0.00498319900798839,0.00271693395205694,0.00376049198038727,0.00220331366779248,0.00157278593896942,0.0011705327528776,0.000833421547947458,0.000651548423115878,0.000509357078176879,9.059201884314e-05,0.000277970813064628,0.000819940964250574,0.000633176801286295,0,0,0,0,0,0.000168191563507455,0,0.000130999790400335,4.35831199363765e-05,1.31749077205993e-05,0,0,0,0,0,0,0,0
"ASV_4",0.130052370081912,0.177669692592532,0.109405846016685,0.121149635036496,0.105258551039083,0.0679146856840993,0.0386595630372493,0.0593101806386335,0.0490925319845284,0.0765647883604236,0.0787160723274093,0.0692915412799049,0.0589741512853509,0.0510458971265442,0.0502455603845472,0.0494577719355898,0.0459406005361225,0.0412097650220113,0.0319664654075223,0.0247964263691778,0.0192346180990804,0.00572958711532025,0.000846357658938641,0.000904557011539213,0.000860909335485606,0.000767424675582885,0.000684089812325459,0.000609802576415885,0.0188636366657916,0.0928135816713367,0.109114738472537,0.124301386876423,0.136429002847364,0.152180459053915,0.14079969224111,0.166105709299427,0.216750982069085,0.123358303336901,0.128683845085635,0.142777874290328,0.166132514965657,0.175765922124962,0.0976129003034833,0.157470465601111,0.141813344994716,0.156759279084346,0.13332795932124,0.0739125198140991,0.04299264819827,0.0250075057838687,0.00831582374004913,0.0170876734675734,0.00560633541171976,0.00534479144833368,0.00363059892227168,0.00255383210716505,0.00167521725473772,0.0242522213531194,0.0623363779161091,0.0979059015501768,0.099148723084627,0.116196803347641,0.141643636363636,0.178306212576213
"ASV_5",0.020444474284947,0.0511643343105261,0.0448534250355559,0.0193613138686131,0.0109415761124561,0.00888140517696778,0.00607845951502843,0.00520786834508824,0.00304396585265374,0.00434563395836835,0.00439462577922329,0.00498396813957891,0.00545845764055121,0.00608336590256419,0.00817339684607173,0.0109814875670939,0.011233660535701,0.0118451185750274,0.0113926904716178,0.0112946084203492,0.011197370777285,0.0217566795959755,0.00910674297088827,0.00703412147098976,0.0257196663976325,0.0261916058744719,0.0266722051384675,0.0271616230911909,0.0596573217484682,0.0324542607549036,0.0198022161324914,0.0131856758435107,0.0102965285167822,0.0126168582624526,0.0154600754971027,0.0181932133585297,0.0135387826691985,0.0106690015241431,0.0181229047144801,0.014022477560028,0.0113873937152581,0.00880841985341604,0.0257281333514517,0.0402501737317582,0.0254728326227178,0.0370309383976435,0.0218824203210842,0.0163300242246036,0.0100175093706119,0.00695830316302563,0.0186017893618021,0.0231743341958827,0.0104253276414839,0.0269859568224691,0.0185217439557987,0.0127123520790401,0.00872508986842564,0.0340841807182392,0.0259491695603718,0.0115583355996736,0.0153137616370689,0.0036021656133388,0.00779636363636364,0.0110060074349826
"ASV_6",0.0892641332080032,0.118243144506051,0.134899912967798,0.182937956204379,0.158568398926487,0.178684627575277,0.168317625178482,0.17376424723983,0.105646213352253,0.126431538258385,0.124598288612692,0.118200632389359,0.115580752556172,0.106373940083944,0.115922503306152,0.126328184905247,0.134184992877312,0.14253044422846,0.14735911610655,0.123451001674263,0.114891555096753,0.043139262438717,0.00756407066434436,0.00442917509357292,0.0104564613039189,0.00858804154410187,0.0070534812394231,0.00579312447595092,0.0128808583864764,0.0102357013350915,0.0155938807036259,0.0140757607120679,0.0400931864592022,0.0533088539274678,0.0708807193864057,0.0425645999852826,0.0167303428295761,0.0106203586600512,0.0132274761190052,0.022970569553553,0.0398902275222284,0.0730103078373112,0.0630094696095582,0.0400277970813065,0.0217375460077985,0.0205092221866082,0.0187089356110381,0.00713782256146067,0.00217536184918541,0.000741748052911361,0.000207155751531473,9.15981588770065e-05,6.87663320038509e-05,0,0,0,0,0,0,0,0,4.31397079441773e-05,0,0
"ASV_7",0,0,0,0,0.00178293264268153,0.0453479926043318,0.0796919770773639,0.0801222461061713,0.0981392900464605,0.0318119612974479,0.0764122817206799,0.077885906691521,0.0793879507917128,0.0898930638947802,0.0704385811719582,0.061315587687589,0.061370707151499,0.0614258761648848,0.0807646400203205,0.088080910242635,0.105474387199393,0.0150623166433677,0.00641950734013436,0.00523176217484842,0.00527306967984934,0.00671145262551545,0.00776704492150828,0.00942653149376223,0.0319870432229982,0.0456897972638866,0.0687277540661199,0.0580117898694788,0.0892030256837987,0.0879921060456107,0.0867976244860666,0.159083354109532,0.0343440867973544,0.00290085279724442,0.00175337700410992,0.00256214213600771,0.00387701256399244,0.00547087232115907,0.0200185029191428,0.0110910354412787,0.00127546372216756,0.00119838264083283,0.0470433639947437,0.0543558972242729,0.0677475398383447,0.0725676845098282,0.0601384631119578,0.0295633057775539,0.0434603218264338,0.128800872364216,0.109554497884184,0.100659088510349,0.092485952605312,0.122306603166431,0.127552504508697,0.107016589611096,0.111673451376627,0.0584327344103881,0.103941818181818,0.0790964239032075
"ASV_8",0.00768765946018531,0.00553127938492173,0.0268690601976265,0.0691970802919708,0.0436161627535987,0.0530243000528262,0.0924964183381089,0.122727137457965,0.135999281063943,0.138532088065112,0.125411391179773,0.0774155501194964,0.0477880623027208,0.0323903259194694,0.0482933254723312,0.0790612334319203,0.072323375149066,0.0661597392944944,0.0679615545034349,0.0698124409150372,0.0752071596475784,0.116206265136151,0.114058223438666,0.0865441032661841,0.07050488745404,0.0725675919834254,0.0711443331713325,0.0664938892700155,0.12858082801903,0.121312015823306,0.110067913737639,0.0990034615843324,0.0876542352156301,0.0839000410051977,0.0909331345723835,0.0622632368398886,0.00895820951773523,0.00359201078152832,0.00144478265138657,0.00374707792796824,0.00971805074784681,0.0252037428312707,0.0907052588666938,0.0134630698788965,0.00178564921103458,0.00358867962880456,0.00206964520367937,0.00210330061475268,0.0023089693402948,0.0021722621549547,0.00156846497588115,0.00551878907233965,0.0102118003025719,0.00290819534688745,0.00356888635802303,0.00445409403814129,0.0053746553589502,0.0161925601750547,0.0131188550817383,0.0246464509110688,0.0178833737578773,0.0140204050818576,0.01344,0.0151154606696384
"ASV_9",0.224284946958507,0.102402419012851,0.0583328026491753,0.0262927067137944,0.010021958223073,0.00452324352879028,0.00223853868194842,0.000505907210665714,0.0010303307858242,0.00105639720534921,0.000716304642428467,0.000471264528501926,0.000310024073990174,0.000203911706231202,3.11574038669525e-05,0,0,0,0,0,0,0.000103295108710366,0,0,0,1.04019248415341e-05,3.16378554497985e-05,8.63117632158075e-05,2.5306205081486e-05,6.59304433822318e-05,0.00157928249680013,0,0,5.5462384693696e-05,0.000625135245606021,0.00031164298180005,0.0594459825764274,0.135632519376074,0.131275414519046,0.150628994088825,0.190960708167746,0.230757621491095,0.208135163292114,0.0977676026786833,0.0990488684814693,0.0781327185904825,0.0125164257555848,0.00584030316514343,0.00272514465875217,0.00127156809070519,0.00159511679950389,0.00567908585037441,0.0213175629211938,0.00634038985537624,0.00507202858818004,0.00412882677671105,0.00324573343105434,0.000180203372377397,0,0,0,0.000111166825540877,0,0
"ASV_10",0.000469987914596482,0.00440658590998765,0.0161327984037021,0.013604854465901,0.0114107689131618,0.01162176439514,0.010633058739255,0.0106538106716662,0.00432563568535005,0.00549806727329476,0.0048726377860949,0.00579318200239592,0.00722315605917799,0.00900610035854473,0.00922436203253231,0.00991604634067339,0.0111217137529739,0.0118918300840432,0.0109276832947033,0.0100417059972087,0.00922756049002982,0.0137376122186784,0.0179751860114152,0.00982788969293957,0.00990045735808449,0.0126675426853972,0.0151145538025836,0.020894881381193,0.0159935216114991,0.0102851491676282,0.00805433099011081,0.00850755537155868,0.00734850010066439,0.00952176671000028,0.0106032555120098,0.0227060825828586,0.0343687941206314,0.0613710801958686,0.104989828731545,0.0858136433148344,0.0757664304195011,0.0668955629338968,0.0887575304615663,0.0719666435024323,0.0963157319339674,0.141718752118861,0.0966491458607096,0.0670594191468163,0.0465287679709465,0.0322837009695707,0.025657709014072,0.1266802537269,0.159537890248934,0.165505135191784,0.133216797126435,0.107227579442034,0.0889635309173991,0.0575878491440339,0.0334516260399093,0.0410660864835464,0.0231776235782245,0.0207070598132051,0.020230541423433,0.0167577169286456
