"","m4_T1","m4_T2","m4_T3","m4_T4","m4_T5","m4_T6","m4_T7","m4_T8","m4_T9","m4_T10","m4_T11","m4_T12","m4_T13","m4_T14","m4_T15","m4_T16","m4_T17","m4_T18","m4_T19","m4_T20","m4_T21","m4_T22","m4_T23","m4_T24","m4_T25","m4_T26","m4_T27","m4_T28","m4_T29","m4_T30","m4_T31","m4_T32","m4_T33","m4_T34","m4_T35","m4_T36","m4_T37","m4_T38","m4_T39","m4_T40","m4_T41","m4_T42","m4_T43","m4_T44","m4_T45","m4_T46","m4_T47","m4_T48","m4_T49","m4_T50","m4_T51","m4_T52","m4_T53","m4_T54","m4_T55","m4_T56","m4_T57","m4_T58","m4_T59","m4_T60","m4_T61","m4_T62","m4_T63","m4_T64"
"ASV_1",0.00041268531157741,0.000462009374542914,0.0171371251041144,0.000807685987663451,0.0074122204317694,0.621857935172335,0.0455959518032953,0.0179740033519119,0.0244073471146654,0.0337522263646266,0.430077983090523,0.141390762942455,0.06356814575489,0.0664709956089701,0.055621218821217,1.18123319911434,0.141676512992671,0.0836127115870723,0.137742891313198,0.149814332338353,1.94124051127458,0.361221384072274,0.186350743233793,0.226137102496046,0.182565677709547,2.6283518986085,0.433453272645463,0.320187476860092,0.545480042496367,0.410406533071489,2.75212905669808,0.567288182274011,0.378021746952924,0.389889940564083,0.250162288558576,1.21609594371304,0.320853072578408,0.248110000239294,0.285806626350884,0.20322243368021,0.592778964398189,0.34381909287606,0.221997258002879,0.266110147545905,0.194796069999006,0.552165851444315,0.382899225319753,0.278014209085049,0.360731220568798,0.285503677813584,0.756980513049781,0.581530708588959,0.41440157366198,0.509504741587458,0.394798568819315,0.823331707349687,0.645336763834732,0.416159330063123,0.44040492913842,0.317367823905386,0.56786752787035,0.42239504354745,0.271819335864357,0.278367963087197
"ASV_2",0.906226418249557,0.00044769381094295,0.0140635149340401,0.000256677608050451,0.00354173574575279,0.0604476784773208,0.0357513316647338,0.00661588971311411,0.0119544640049195,0.0143139547086575,0.794157993029065,0.197650406939106,0.127122402144207,0.106141236400417,0.051580515908625,0.368121917231097,0.0780125389414957,0.0588343062281671,0.125144436133044,0.118032093989925,1.11524419872478,0.0744097817327482,0.0209202270107381,0.0108883964332841,0.00464831580434291,0.0249952317978355,0.00563455321921306,0.00502785858975059,0.00681005418774638,0.00409425006769482,0.0171871137085607,0.00340588292323312,0.00196375536156488,0.00199602479261847,0.00139089191869554,0.00420092524331771,0.00261383920371793,0.00245133835402043,0.00439575934847127,0.00437948821040453,0.0140169001623393,0.00858258423557566,0.00506964413834685,0.00618321486206567,0.00414541459433542,0.0093061089868949,0.00603458834629668,0.00349030347879482,0.00350415170877481,0.00215229227247339,0.00316012260523782,0.00151320283099986,0.000717597134845008,0.000643131424144369,0.00044523231984607,0.000816565779298141,0.000640001256356216,0.000471842630789241,0.000687291314106129,0.00036050311250184,0.0018931767343909,0.00146355261368393,0.00121928328913513,0.00149645351063325
"ASV_3",0.769228723862731,0.0068983540261008,0.00245326134742824,0.00394913305178483,0.00238879116549422,0.0382378831685412,0.00180570183351997,0.000856248255759876,0.00227751634730811,0.00289335197099013,0.0231556540652656,0.00245739321437902,0.000724108130333293,0.000760317914584402,0.000653033990105195,0.00937306768976738,0.00144698355897105,0.000988083277195756,0.00131740032971249,0.000983855623998597,0.0061512506924229,0.00105516940121296,0.000560360461048027,0.000484259868270329,0.00024691525739627,0.000970371994882004,0.000238049865133712,0.00018455634865114,0.000240565780190164,0.000176499602761535,0.000398112148313773,0.000161764064082856,7.54662677833352e-05,6.80305056442125e-05,4.21428639571973e-05,0.000108085768201893,7.19624885337234e-05,5.71732455805393e-05,7.73829618140332e-05,5.84513564128516e-05,0.0001337353734808,8.6363879456302e-05,5.56275590575213e-05,6.48332329294453e-05,4.28111658487597e-05,7.73102380318354e-05,5.37984545718193e-05,3.35421549729952e-05,3.61399903012021e-05,2.72709327794367e-05,4.93975558049197e-05,3.72324888856025e-05,2.40945859787145e-05,2.62624900226524e-05,1.10321199726807e-05,4.72649783812195e-05,2.99979623673709e-05,2.10783543183094e-05,2.21949337147216e-05,0.00190293924197266,4.85693070103232e-05,2.59416545665704e-05,2.15282670563122e-05,2.4454110898176e-05
"ASV_4",3.67136065942053,0.000736900746236278,0.00640752863788339,0.000709557060236835,0.0010211907315621,0.00601962916314349,0.00594907263336911,0.00431996649755205,0.00979079137622114,0.00826624917770811,0.126967287186195,0.0221238178917829,0.0186934077679314,0.028337960597135,0.0235308393220122,0.171655225763866,0.0467600482808727,0.048932032750302,0.0827670652212043,0.0757249914829677,0.422081407336248,0.0870338155918096,0.0554672554465413,0.0528486919451504,0.0325965886368347,0.0913120515247701,0.0584553401528045,0.0437777628500336,0.0728949872221243,0.0592894512227499,0.160101270203887,0.0970278142011652,0.0632457522137688,0.0805631995408787,0.0713714254555118,0.223385402680509,0.194069506850569,0.152224198985769,0.206274360631178,0.174156333176664,0.386253043892584,0.307679072077558,0.193637477326421,0.199893219983302,0.141019676471973,0.240559415679665,0.167505172801165,0.100577860033389,0.0973193265315428,0.0365919856132731,0.145214743950705,0.0882761530764871,0.0595859967115491,0.0610617153752027,5.13073392774429,0.138362232477796,0.0794171147269529,0.0671558831838481,0.0733403093783175,0.724229685338205,0.205899587438874,0.0933557539861565,0.108294081864719,0.109512825475469
"ASV_5",0.325569807536414,0.000282320925040397,0.00698426078409069,0.000712421734308898,0.00436145203202208,0.0297503232440366,0.00612663607901303,0.00522796223458218,0.0101574798932749,0.00972784741223836,0.083322906164928,0.0247436194809747,0.0210959479475674,0.0305782121082731,0.0269738977482496,0.175212092392469,0.0574791148123117,0.0538697669167327,0.070094716987181,0.0528310841363516,0.15819676045224,0.0857339728351526,0.0633906069447186,0.0792941592572069,0.0633143441361522,0.187290556804599,0.125822001750458,0.0774439206761326,0.086492384706458,0.0464490037776271,0.0941840670634943,0.0570267317736457,0.0344548217184141,0.0373936905585994,0.0257684985891184,0.0469567987383007,0.0334881632040815,0.0203048354377759,0.0207330845322738,0.0149844979345091,0.0274022410609988,0.0219171910416407,0.0159967399652738,0.019112902832585,0.00875069742191218,0.0419034771900041,0.0308332233174623,0.0250155507008941,0.0290939433582121,2.59198874061066,0.0707618767776573,0.0408166137476488,0.0338040547376479,0.0343641410456524,0.304668324112887,0.0753590080602324,0.0288634035658836,0.0276338214740082,0.0225628826070424,0.451708483364483,0.0422897415730501,0.0159423272445509,0.0169705433760338,0.0132638983624538
"ASV_6",1.10925981601186,0.000282982751571831,0.00231235415458699,0.00125358175152648,0.00228254118243067,0.0068972244258265,0.00187587202557122,0.00172850749815074,0.00305330744760814,0.00268122924891394,0.0103335996260108,0.00270967103070361,0.00224856923942782,0.00226115831190863,0.0012609660745106,0.0036425091782619,0.00284021171161211,0.0029587951556246,0.00529296013423057,0.00413444921934748,0.00865442434127904,0.00310270179346303,0.00134142679192801,0.00104579759686065,0.000553038500475746,0.00114316539982584,0.000744718045629713,0.000447136886728238,0.000528017212882972,0.000300535213563279,0.000433198602195794,0.000230938343017675,0.000109517461879789,0.000105292434090272,8.8986215781833e-05,0.000190142190925391,0.000175383175755106,0.000152546827045053,0.000209469415948565,0.000100528141329751,0.000472838960799708,0.000314454388934475,0.000228582699048395,0.000237868842824676,0.0185778130618242,0.000443902353668674,0.000222528460727998,0.000156362270079021,0.000133501303089705,0.00099534040362301,0.000212659361789303,6.54100624677474e-05,5.0592510280236e-05,3.90982485664208e-05,0.000802041069004667,8.13481654200092e-05,3.37210202931902e-05,3.76778955204828e-05,3.43527322412187e-05,0.000430000249601733,9.40790061176424e-05,4.8290336032094e-05,6.62596060735976e-05,5.80398732420226e-05
"ASV_7",0.000814684542075429,0.000142976730574611,0.000870607086494864,0.00323045499558483,0.0073749096409916,0.0263466234743171,0.013207610212079,0.0346929461009941,0.0696230306374204,0.0497739732564874,0.151442514926,0.113283308393121,0.0695783490369203,0.0559343015567817,0.0223664374560785,0.0443504953289243,0.0254737694321113,0.0163777658849695,0.0198466513554875,0.0163682816445017,0.0459347227454542,0.034896042319089,0.0224389363067085,0.0247241560375979,0.0191434576712654,0.0437547338071403,0.0448151959834693,0.0415608187084259,0.0658655033041424,0.0712361841885034,0.173855053399764,0.147284689930899,0.100173897281818,0.100384254310596,0.0393081950125766,0.162172962428632,0.101686657233363,0.0678520202439758,0.0702430079430367,5.74017393956542,0.145322304236772,0.0725583739352041,0.0504563581140184,0.0443238373140644,0.368752435111055,0.0875828722923513,0.034342382495117,0.0352595437222766,0.0335741129863447,0.817041203829229,0.0934570626714943,0.0439434705873768,0.0573693662465217,0.0538664874500038,0.651602892239298,0.149012919986037,0.0802851616635053,0.111591035382074,0.0917035357439348,1.23218804731166,0.179592945158629,0.113523729276612,0.136352843093965,0.0956530234159576
"ASV_8",1.46183991321851,0.000281728722000295,0.00745586324350331,0.00877036227615136,0.0126188713266755,0.0126211239714758,0.0171228455353024,0.0392399617692046,0.129950855352899,0.0792399042326445,0.129293285715492,0.0667349707713181,0.050120763549002,0.06480773174027,0.0466939910848593,0.109706268826103,0.0650939118277827,0.030418903639927,0.0243008565423794,0.0134136217827832,0.0221580360921963,0.0150390574115873,0.00897651130142198,0.00978246681279885,0.00762866382702155,0.0154845907174417,0.01358866516133,0.0100558989663714,0.0115584478934356,0.00525990504199011,0.0247953404224779,0.0184066549227077,0.0148037723220402,0.0174049456640667,1.71702873279283,0.0536634097204734,0.0323082179893229,0.0261936287646026,0.0246091730805431,0.199771280154816,0.0487671019428857,0.0193055605875339,0.0192305473225056,0.0163350671934335,0.331703133685791,0.0318187914425931,0.0124870642878018,0.0133288356395094,0.0102421993529465,0.102461129618249,0.0214298629062098,0.0101970526505668,0.0127681526261717,0.0100321536221393,0.134567193198494,0.0206848798986286,0.0145267402171757,0.018583552688837,0.0151578568936438,0.112245220903264,0.0283733015347991,0.0240273036224116,0.0305119557826676,0.0230070026209095
"ASV_9",1.57731664917614,0.00040220662192575,0.00010070459050384,0.000103729271832175,0.000115601691077256,0.000726952843931561,0.00076434332369678,0.000114617407480986,4.49292171709934e-05,9.93395259883199e-06,1.47439149803585e-05,2.55570286712177e-05,4.68978551913703e-05,0.000124806873673028,0.000213630136864286,0.000835234381680273,0.00102556452836261,0.00102734456035139,0.0017764854167385,0.00230430806940256,0.00841003207778517,0.0143958795593759,0.0213377288210977,0.0435639656588308,0.021820065136775,0.0764599071510402,0.0315672271368101,0.0126430587338157,0.00749720529183085,0.363445656810489,0.00561904457374311,0.00220250424717334,0.00143074209896736,0.00112930630025542,0.00681956982242498,0.00112179634519803,0.000258065321137314,0.000174877178684059,0.000129125186032767,0.00259930456295774,0.000272482372076597,0.000130157626959658,0.000171530651269624,0.000193662550126876,0.00282069450434476,0.000723276617874345,0.000449241193040155,0.000760995457786235,0.000799170103964348,0.0133924969013412,0.00224969690868453,0.0014725407225611,0.00177189427716653,0.00130729941789517,0.00775127823354435,0.00140354484593927,0.000775351693913833,0.000617584876782894,0.000311545841901443,0.00117921646119583,0.000220129500428015,0.000120295244890553,0.00010197799633215,5.75262539553391e-05
"ASV_10",0.00084186917667931,0.00030252727289091,0.00290446004804496,0.000697119353611048,0.0034312846592758,0.00577277932805298,0.0103824453568145,0.00566647684460734,0.00620388495619793,0.00499135368574625,0.0134136751971415,0.0123786675709821,0.00855684833165977,0.0123464663684342,0.0147027525117549,0.0404788810466051,0.0372121126442677,0.0271454795940301,0.0318486648408324,0.0153264979540743,0.0837971812654569,0.0702887280342136,0.0705354944821427,0.0883381963683933,7.92394085855811,0.212083909241856,0.118058826213719,0.0928615253422575,0.0964355587645502,0.776212565292996,0.191054648772302,0.0765490817271934,0.0799293704358443,0.0717714445421252,1.53380459804509,0.144120749276539,0.0539865852531579,0.058395804539352,0.0453561932266174,0.438396818176891,0.0804316803447411,0.0371224349328621,0.0478458577028893,0.0395897888041408,0.519040949609456,0.07320190179396,0.0474631193314576,0.063053211076001,0.05110507599641,0.36875930456779,0.0896279190261574,0.0722629467110799,0.0901835111119049,0.0677736196952675,0.367485783655772,0.102376179782305,0.0797039238819089,0.0895803771575142,0.0607496047381157,0.166024531142774,0.0909867254914904,0.055359968273226,0.0609606645371159,0.040482203652802
