"","m4_T1","m4_T2","m4_T3","m4_T4","m4_T5","m4_T6","m4_T7","m4_T8","m4_T9","m4_T10","m4_T11","m4_T12","m4_T13","m4_T14","m4_T15","m4_T16","m4_T17","m4_T18","m4_T19","m4_T20","m4_T21","m4_T22","m4_T23","m4_T24","m4_T25","m4_T26","m4_T27","m4_T28","m4_T29","m4_T30","m4_T31","m4_T32","m4_T33","m4_T34","m4_T35","m4_T36","m4_T37","m4_T38","m4_T39","m4_T40","m4_T41","m4_T42","m4_T43","m4_T44","m4_T45","m4_T46","m4_T47","m4_T48","m4_T49","m4_T50","m4_T51","m4_T52","m4_T53","m4_T54","m4_T55","m4_T56","m4_T57","m4_T58","m4_T59","m4_T60","m4_T61","m4_T62","m4_T63","m4_T64"
"ASV_1",0.000415759862144808,0.000120812075789435,0.0110552866044225,0.000227649904703119,0.00471579508508956,0.832099073660059,0.0470789871397135,0.0101269872039861,0.0178699784760188,0.018263571769791,0.278581242115649,0.0950019419922325,0.037826620705242,0.0403487494248264,0.0304699882251118,1.36337336010685,0.114743342989439,0.0823936450764895,0.162997207385432,0.134259159761578,1.92430813454221,0.344716079704898,0.208399199830204,0.283305515286744,0.169588189403093,4.62530080723762,0.408131162256083,0.324342719057761,0.571424556256965,0.330099400024748,2.65449906303537,0.498224728724253,0.335210876945054,0.399847636547715,0.21918947964671,1.39251567417796,0.333559948475395,0.236853134243739,0.304470451016069,0.184881426925821,0.483057945892329,0.333869326159787,0.203860794935264,0.284670089815454,0.201683272215237,0.765088461172541,0.428043394925138,0.308485009153701,0.436968684184598,0.335151352278544,1.23817862421225,0.639648546238411,0.482103502631469,0.611538759373497,0.4690064588749,1.42537951308986,0.655216943757345,0.429352203539216,0.424518495109688,0.308980509811345,0.738459987073101,0.348931704212711,0.235667454043222,0.226019352744321
"ASV_2",2.56299200536598,0.000207232791751601,0.00548818093198778,6.38540683877206e-05,0.00149838341321034,0.0440391290324657,0.0321216589102912,0.00566769795213051,0.01157258578466,0.0119345404674891,1.38751902362281,0.183771259573648,0.106232804265715,0.111012587762187,0.0588963004115935,0.729912876897616,0.197517803744365,0.167307243681151,0.286642024041286,0.146321783782835,2.17588993782027,0.0765490094079637,0.0257863676414579,0.016974497999757,0.00596349156604872,0.0417166669040941,0.00858839485362396,0.00750628000117358,0.0108844093414595,0.00506430691792714,0.0237895776826278,0.00385404974394234,0.00186442125869209,0.00214230999480492,0.00147725958035301,0.00507501753674391,0.00486168595579043,0.00516109014060937,0.0111699917922871,0.0104327550869606,0.0432662457631004,0.0213015366764724,0.013108855217925,0.0186078918253146,0.0124884531813973,0.0389398259863485,0.01547356886228,0.00815147552895477,0.00723424809289627,0.00387457251497999,0.00730371755325635,0.00187283164534273,0.000882907928890001,0.000749826076217893,0.000541323800048092,0.00141113596490057,0.000761384939904809,0.000658136916651407,0.000996209380422004,0.000659533550910534,0.00518693332567743,0.00342607308517673,0.00377203118120465,0.00494712345038845
"ASV_3",0.677016223457202,0.00268161480831298,0.000505093763210249,0.00108442616129566,0.000808933057869804,0.0226293465815804,0.00112181126096574,0.000585886824468804,0.0016284617322412,0.00217909669294217,0.0204285231770411,0.00172689394705362,0.000689585450480694,0.00137818303035401,0.00141653801797741,0.0465799317371971,0.00356968265088238,0.00276265831717724,0.00450841448682226,0.00257986949647553,0.0155566278982417,0.00176055359507654,0.000694632626936094,0.000617301860575192,0.000266296915310535,0.00136017947190261,0.000317833899682856,0.000224300206669083,0.000295058529519773,0.000179605101283138,0.000347109802568949,0.000167002440457757,7.85389099755496e-05,8.40542290322911e-05,5.07372275206973e-05,0.000169625759599801,8.55072463384311e-05,6.52644447937596e-05,9.89674932829691e-05,7.95545295708992e-05,0.000290095993944103,0.000145595776155343,0.000116979713574426,0.000163984244902885,0.000124368525551666,0.000385469524233664,0.000185402200613362,0.000133919565816,0.000146210802079348,0.000113851836102741,0.000275087317926831,0.00013018091936556,8.44676944770378e-05,7.93252481202107e-05,3.46478748075906e-05,0.000172355355904251,6.9767982630846e-05,4.9363032451769e-05,4.34798006109478e-05,0.0123938739200658,0.000134187601184672,6.47090913830739e-05,6.44170221158758e-05,6.5723682388243e-05
"ASV_4",5.75674217638285,0.000160676408212879,0.00791303748528392,0.000355211104600647,0.00109396606853447,0.00418192612679118,0.00815953378134081,0.0050377998604606,0.0143235060242138,0.00634023014039786,0.188229380193592,0.0182976936731417,0.0190882928380194,0.0292643707576802,0.0181391987104913,0.147609563370792,0.0337853223258867,0.0347114014474645,0.0670569987382223,0.0478975085668733,0.305262420248961,0.0537717079984993,0.032495469942077,0.0402824804858836,0.0255531685470543,0.0718022079861592,0.0576108870384156,0.040611110720377,0.0739169568466561,0.0568756618361895,0.208774136927474,0.106441887196523,0.0741521433644218,0.108014982109772,0.0943743409375391,0.408113712978824,0.229046738541505,0.18190396443085,0.248553068175481,0.198787840844985,0.601883659985285,0.258247882033126,0.15282257026806,0.140579600498462,0.0972881946146248,0.211411779739485,0.0885486950817929,0.0522270750516945,0.0442976826047981,0.0181273436548556,0.0919719883813395,0.040794063246979,0.0316271525423135,0.0309004067984987,9.57765768454697,0.116104314016964,0.0621250712351735,0.0640057788868096,0.0639587113048776,0.751497541471057,0.290380912442656,0.13658638015991,0.182341656926536,0.145019542787255
"ASV_5",0.303159973446944,7.85392598016041e-05,0.00528725538977212,0.000148044828099376,0.00290865192580832,0.0150549679590216,0.00420881050617208,0.00193379311258451,0.00796152510711306,0.00459095504537085,0.0667531266734496,0.0168183721483282,0.0188664131808178,0.0290785914284007,0.0229403965242554,0.176317855408979,0.0573735275029484,0.0533858830707626,0.0830695497381945,0.0548352927759739,0.152065447269766,0.104483425150725,0.0759847213485643,0.110134893044218,0.0769678856855046,0.263158488798084,0.118719255307943,0.0605249673143226,0.0643546102266507,0.0312070981736084,0.0823084299902229,0.0324660685060574,0.020440926478199,0.0231408083301413,0.0165674304091796,0.0463825938044758,0.0205314624998285,0.0135666073519385,0.0141443554391621,0.0113369480724537,0.0309643013108702,0.0174127583919917,0.0147219412813085,0.0179011933298395,0.010127300515217,0.0661693595033594,0.0356076579066552,0.0314930358277869,0.0328263747492505,9.98386556377348,0.112464140111362,0.0543703672568418,0.0481521813672809,0.0385767285677107,0.344963178047869,0.0978455940587305,0.0332972689084693,0.0320671970749268,0.0187699565176696,0.673462454264968,0.0368718613909373,0.0143586856218295,0.016367425154359,0.00939082371677423
"ASV_6",1.76950994512733,5.55849939031126e-05,0.00384184963356879,0.000683637569746881,0.00122868936382536,0.00386688728540648,0.00130880593514104,0.000900404437629031,0.00220984830132989,0.00139535329078604,0.00656235797283325,0.0012119524499809,0.00136448599621732,0.00232914206360394,0.00164194748874378,0.00517173366241667,0.00551712187508342,0.00616105485955482,0.0122390655732363,0.00710788826733474,0.014864491759567,0.00354055886318705,0.0013927785995282,0.00127109354814159,0.000679157989468249,0.00196589734574817,0.000902171972276696,0.000581753256208732,0.000734300778301102,0.000446141125459276,0.00096929487830318,0.000326651144362277,0.000177346765165627,0.000175172915419964,0.000169285779274982,0.000516330357946034,0.000333058203578184,0.000325996737616365,0.000428195326695874,0.000235599415833596,0.00142594290764608,0.000669204070577341,0.000548642289290433,0.000506547945954865,0.132418698130026,0.00127854642239939,0.000513271655172912,0.00036221923340366,0.000229492063993026,0.00167858393844618,0.00041822962592479,0.000112605873977864,9.26758391561491e-05,5.45961857915579e-05,0.0021502423666051,0.000132658013534736,6.04986885015633e-05,7.94204773439989e-05,6.19042938387065e-05,0.000982547464343381,0.000238172301362101,0.000170767079625593,0.000313115737398827,0.000241371075322924
"ASV_7",0.000907117351001276,2.14049489020714e-05,0.00148830293268327,0.00113063110342544,0.0108133994458729,0.014393416003881,0.0239461262548525,0.0217330303054861,0.086699127728752,0.0281984042372473,0.0838567100913919,0.0525493412356663,0.0340372184918084,0.0265470145465326,0.010638695221445,0.0305256514068166,0.0182285123018335,0.0141971315553787,0.0216453129248951,0.0182970802672736,0.0744692558173538,0.0389713961217909,0.02609176205808,0.0284241846085169,0.0212312302302484,0.0705619723054126,0.0427772472706161,0.0410717428292308,0.0615999794601347,0.0699256569470847,0.245999728140391,0.143645678433251,0.110091243150582,0.107843790798009,0.0488212704726454,0.263345771674521,0.116694129140689,0.0845438590727804,0.0759823430393551,19.8519362412414,0.192228585386516,0.0763711389044783,0.0560958111927138,0.0399799714945286,0.356433184931935,0.106519264233964,0.0419535103930798,0.0493007265871188,0.0381024543216722,1.85079385684352,0.137556561744142,0.0734628167366093,0.110678331515828,0.0802384927924508,1.11178546420785,0.237198871285565,0.145400645840196,0.211084636501886,0.121994024831657,2.89657106148786,0.21397895171878,0.141502544518677,0.17758280632574,0.0919128469469875
"ASV_8",1.6431535592853,9.20001068688983e-05,0.0118230548081502,0.00543246925735548,0.0120581973386888,0.00765600608914417,0.0205788532109837,0.0299896813728395,0.131747976482571,0.0526467064880968,0.100776789451973,0.0395318750204478,0.0350045851953768,0.0502758191273276,0.0319596776450856,0.0917276890490683,0.0355988991594152,0.0188160743470537,0.0176888624359151,0.0106324390478331,0.0275659268271969,0.0117557806861029,0.00774389150281663,0.00907206577126302,0.00829129893439965,0.0255034988530167,0.0152737098725091,0.0120078857433907,0.0128200801292321,0.00676761094571175,0.0415508072045005,0.0222610380260898,0.0198638862778804,0.0207923155529902,6.78745171198824,0.0824023177975206,0.0386905728025173,0.0331168941534778,0.0256729009219544,0.223583894515379,0.0662307114154197,0.0243824179313873,0.0254650196467822,0.0163864111673346,0.62891469312057,0.0371345516609168,0.015763285048459,0.0187441863271625,0.0108929227752175,0.125257662902517,0.0251339004466685,0.014513983877575,0.0204505089580235,0.0122504842373861,0.314473932461782,0.0264667425109566,0.0207218057844417,0.0294585307973819,0.0183787825341157,0.163935172929081,0.036288521765237,0.0296015441922786,0.0404859056277989,0.0239036548561036
"ASV_9",1.28675093923376,0.00017233830123232,8.00194479262191e-06,1.10126870497544e-05,5.24065654138279e-06,0.000177374745601434,7.78268574335064e-05,6.6224603870351e-06,2.6028719434024e-06,1.57723012406782e-06,9.53430297401852e-06,9.61630445936934e-06,1.64744777625907e-05,4.03728719787351e-05,0.000101364816305479,0.000794058398684211,0.000747568245357418,0.000912587832927371,0.00186472648861326,0.00293402001794413,0.0175853430659206,0.0222362818672147,0.0377837153977396,0.0737861475740589,0.0363538286696641,0.133583075646239,0.0318635408141877,0.0118589608725991,0.00556582192506771,0.823354776881607,0.00458403134385204,0.00138732180457866,0.00087930469334139,0.00050655272608513,0.00291388876598791,0.000535810689951653,0.000116976119254727,8.89907806672047e-05,5.27580384170552e-05,0.00216649474889923,0.000149018903259768,8.41213105181092e-05,0.000139793338876611,0.000134961739047416,0.00250716911936837,0.000682310992810208,0.000541672088118838,0.00110676241931915,0.000943726194658753,0.0315969197043607,0.00289982272934798,0.0020353165963577,0.00250705849684251,0.00124372714836909,0.00789836742541928,0.0011414742795052,0.000570686699456273,0.000475166666575358,0.000187184235932951,0.000872948170123928,0.000147598932414011,7.42248605565726e-05,7.17677872254964e-05,3.71355900174927e-05
"ASV_10",0.00100800062834964,8.32060911238969e-05,0.00234204871839259,0.000199623815735054,0.00188455939651683,0.00299599642789883,0.0043230806115436,0.00189884881556822,0.00281811131603509,0.00253208407900547,0.0136886735760357,0.00793478891719682,0.0065441297392303,0.0087646499268891,0.0122480556798464,0.048667573756803,0.031367754827652,0.0252477775029592,0.0296993001218969,0.0171227172924234,0.125673883420717,0.0740649599388007,0.0810784732256863,0.0924173856704302,28.0066125596162,0.309671149662984,0.143881156826533,0.119159950677685,0.098333324301242,0.800396126850775,0.226651092763942,0.0844934062673597,0.0924086336763422,0.0614993168000479,2.41185378469967,0.133003855521716,0.0512719608374646,0.0596365424310155,0.0347483874373218,0.383455518939267,0.0684509389888998,0.0382143550044001,0.055782333209344,0.0359401009089944,0.939795296461121,0.0757723569499203,0.0582495768361359,0.0894951850049642,0.0583498045140396,0.527027585984948,0.115265638350132,0.0918182646642737,0.126864557634267,0.0761560683181022,0.51172564009612,0.123646445868745,0.0844303596322027,0.10219405313248,0.0583610667688706,0.141280386548886,0.0907008814568488,0.0498215428000846,0.0601925425712461,0.0367265904556621
