"","m4_T1","m4_T2","m4_T3","m4_T4","m4_T5","m4_T6","m4_T7","m4_T8","m4_T9","m4_T10","m4_T11","m4_T12","m4_T13","m4_T14","m4_T15","m4_T16","m4_T17","m4_T18","m4_T19","m4_T20","m4_T21","m4_T22","m4_T23","m4_T24","m4_T25","m4_T26","m4_T27","m4_T28","m4_T29","m4_T30","m4_T31","m4_T32","m4_T33","m4_T34","m4_T35","m4_T36","m4_T37","m4_T38","m4_T39","m4_T40","m4_T41","m4_T42","m4_T43","m4_T44","m4_T45","m4_T46","m4_T47","m4_T48","m4_T49","m4_T50","m4_T51","m4_T52","m4_T53","m4_T54","m4_T55","m4_T56","m4_T57","m4_T58","m4_T59","m4_T60","m4_T61","m4_T62","m4_T63","m4_T64"
"ASV_1",0.000415759862144808,0.012226279210752,0.0183406156527394,0.0423211209741341,0.0355172877061117,0.0381249192727455,0.0368579077283928,0.056147924056361,0.0847329461387468,0.0856837477362935,0.0983782620998229,0.091802239438241,0.0856657861807379,0.079939519633407,0.0815563148017823,0.0689788569904307,0.0621747897523308,0.0540704788214449,0.0544717395757752,0.0600293113757741,0.0552832165340127,0.00867780794183601,0.0098796933284246,0.00464196382406533,0.00930751620367252,0.00978438682915704,0.010626021825638,0.0108126772822491,0.0763294732566922,0.100601383453317,0.064194592092024,0.0686901338376044,0.0501364017784141,0.0539787062350063,0.0581154734574417,0.0358038004316821,0.0579693200061159,0.0488821037811278,0.0400655062576975,0.0523625722866277,0.0684339031893686,0.0894379114932796,0.0749275868267096,0.265215591440891,0.285869515179835,0.272344595321172,0.334805213552684,0.292885189553319,0.266823722988927,0.22413403463828,0.510904600254912,0.540914027452526,0.495425592343304,0.249435655194049,0.152134471627505,0.0976646920551888,0.056593405096093,0.178383303793222,0.262468050703498,0.375330195961162,0.377436784439694,0.384146318097993,0.37845151828412,0.232129885851014
"ASV_2",0.00479455670056958,0.0240465902541103,0.143675406144168,0.13868983907962,0.138494661743221,0.139306106599011,0.165731039030565,0.0295556923854974,0.154161467026132,0.161004598975066,0.100785577162023,0.114968545075446,0.126534001412489,0.141778921853568,0.168660530928307,0.167669119010772,0.149163774793042,0.132700832698234,0.130597052682821,0.12852662506063,0.126489021077646,0.430487071265285,0.399266016856482,0.291479569393427,0.435710096218147,0.42919789827904,0.439561353567874,0.41646404494058,0.220932040736013,0.222385693603011,0.183459659952962,0.195270581984886,0.217804345653907,0.153432077079828,0.114162773067166,0.133846453482614,0.0830764231910854,0.0740576536108146,0.0109117257503368,0.00393742558347104,0.00147755077702021,0.000554462872349311,0,3.09447242195738e-05,0.00013963646185461,0.140409813684469,0.0765537688299552,0.0885410920143537,0.102405473889962,0.118440837401551,0.021243569014388,0.0486119648785201,0.10112562503919,0.00131433010623045,0.000159151543152655,2.00985895502988e-05,0,0,3.7381161858961e-05,0,0,2.00609698505629e-05,0.000306240758797295,0.000104759378729603
"ASV_3",0.0396980097604771,0.113082712372974,0.1784673223801,0.218100565695754,0.295054506448823,0.229510240818137,0.143862304703459,0.244101981909312,0.250113480586499,0.238657085969746,0.194809748149082,0.191583723133182,0.188411120687256,0.18529105614025,0.21598847968587,0.251771587516359,0.268655509441095,0.268602612555562,0.250082392306344,0.232839146077652,0.216784826177444,0.0179697228635405,0.000392464510324715,9.53251152438962e-05,0.000254829850052257,5.38621201201218e-05,1.13845688926926e-05,0,0.000400005963083328,0.00105543844388348,0.000869778925278356,0.00232907336498949,0.00190844105948028,0.00123008873756901,0.000733114576115634,0.000648565841322655,0.00262861571254759,0.00170074028094524,0.000712432529395103,0.00265328785369804,0.0102907452297202,0.0399125323833254,0.0385694732489742,0.0898675402418002,0.100228667664145,0.0706833408803886,0.0392681773427074,0.0336754131252331,0.0288791975053488,0.0247660821695464,0.00515064161865581,0.000729718095871555,0.000162005178996149,0,0,0,0,0,0.000143923148275486,0.000172260126972736,0.000122878246005211,0.000141836555537161,0,0
"ASV_4",0.0792658333656636,0.183719999097342,0.102055434686037,0.0599117629392945,0.026971454877165,0.0103217263663358,0.00756257827089585,0.00711464371116731,0.0081301144467805,0.00433353522758461,0.00391429316870862,0.00322823495273518,0.0024946083355402,0.0019914842626136,0.00179281346370773,0.00161396209650859,0.00152666945705952,0.00133595797970453,0.00138130586256629,0.00142819303821364,0.0014766717565452,0.00150614143338738,0.00105371350847106,0.000771176815203834,0.00164431194153816,0.00131224306282507,0.00104723551075212,0.000835746247055186,0.030262195293128,0.0858928507201967,0.12778631701079,0.125017978775342,0.168348529993125,0.1728350720356,0.163610345711609,0.1569288050197,0.13295629273992,0.0707907651090791,0.139846475770996,0.0835212828138077,0.0525029423964115,0.0297912287101347,0.0184918528500745,0.047533888425974,0.0462048195063892,0.0554656144949849,0.10012524902188,0.106765379912948,0.117978084300536,0.130368368347241,0.0437209317566514,0.0371637667081439,0.0301504297082366,0.0242825684784494,0.0166335765500019,0.0116602258534537,0.00780490604385727,0.0117066610400111,0.00159999696263465,0.00822296368181408,0.00752173924815776,0.0172912423759699,0.0334932374231678,0.0683471224022578
"ASV_5",0.0155194359135231,0.0634822844573469,0.0639486534667137,0.0596864548595965,0.0309046648178651,0.0267632686844779,0.0252559161015331,0.0274595504763565,0.022953598796399,0.0190738290258626,0.0190988958687358,0.0163237529354044,0.0129070757987539,0.0106105442372002,0.010043482391164,0.00950672616659659,0.0101816705514794,0.0115177014686716,0.0120110243400245,0.0132297914388891,0.0145722276936245,0.0118934906665918,0.0118903611643594,0.0284367606498416,0.0279181551259987,0.0235304889252721,0.0198323960363245,0.0167155019086401,0.0419510039660573,0.0114918641895325,0.00738687420376678,0.00720050436276839,0.00609625550948303,0.00861319084669488,0.0121692826762571,0.0172745053358108,0.0479710569749415,0.00446359455669879,0.0358249994232449,0.0363516244613256,0.0384689013720069,0.0387867271281501,0.000697472348206606,0.00221102837124381,0.0107511899461483,0.00987971833193308,0.0201009385679665,0.0263736424018628,0.0253023754291327,0.0289116264616458,0.00976253878291152,0.0619918562831118,0.156212611208438,0.244609355105057,0.287659086720048,0.338285304489166,0.3978214230538,0.521550692882586,0.40758299852173,0.127116335758282,0.12190997096135,0.0667270295624212,0.0188092884702522,0.0614259702945274
"ASV_6",0.0455364055450437,0.110639455092357,0.127611060455426,0.209854289978781,0.137494881412764,0.174624975282428,0.172022317986158,0.16724344524082,0.0714590157319276,0.100651984222174,0.148885583885585,0.140936472561831,0.140913586306897,0.126288817187853,0.106018976419055,0.0890025230359459,0.086575071365795,0.0842138259267704,0.103535239091301,0.117698439527617,0.139143959717938,0.0254733882164605,0.01380342376554,0.01942284847189,0.0189496798082261,0.00988227232381002,0.00515361247631987,0.00268761279651117,0.0109678822498964,0.00944359371608743,0.0116379011199171,0.0149181647075642,0.014318671685708,0.0224399834722663,0.0351675678644269,0.021465639985448,0.0270430665054228,0.0314014237452958,0.00121877625686245,0.000937360856067529,0.000720924262792579,0.000575108741688945,0.00115584994213384,0.00277655425427965,0.00851233617634057,0.00791565043660946,0.00832465090277633,0.01330508144692,0.0137518759324442,0.0176750195646392,0.00393162992546621,0.00158749217500263,0.00045056427037174,5.71849091046964e-05,1.84947991905632e-05,6.68825550718476e-06,0,0,0,0,0,0,0,0
"ASV_7",6.67253315457279e-05,0,0.000144585581273809,0.000137529395229386,0.000161419656300617,0.00990507909511578,0.0742984887855136,0.0621703405100511,0.0744065425427586,0.0647130204768884,0.0852769128190073,0.0862125887840272,0.0871585311796978,0.0916347624761873,0.072166807563988,0.0591052241167603,0.0718108534785604,0.0872477645483962,0.0800202507041694,0.0676708837052346,0.0595971672769786,0.00985766275451614,0.0133544396856711,0.00156991064242922,0.00248642230001447,0.00361503629769051,0.00474426258206061,0.00655338421850054,0.0254987121442644,0.0315454074914524,0.0781304430254958,0.0844901675364625,0.059499401565006,0.0655297943702371,0.0721713805056339,0.184786096486322,0.0768561559969624,0.00275934013703756,0.0026384241970923,0.00507465090599972,0.00998844826543098,0.0187728094840927,0.0267292734166115,0.00277655425427963,0.00185711332636455,0.00317347413654696,0.00457053179416312,0.00920891559328189,0.0203783529523472,0.0373845371639196,0.0894618163535847,0.0461957903141955,0.0249139627947689,0.0381237344679411,0.0404486513876648,0.0469454756426108,0.0544858136848291,0.0202507900104481,0.047093425162491,0.0811400287101514,0.111069172152164,0.142569401833599,0.173181618363467,0.173752201964141
"ASV_8",0.141552631871663,0.00386477753920308,0.00559912269928783,0.0373584241614549,0.0645336395696134,0.101535428973417,0.121080064230363,0.15861227267377,0.0170257421838553,0.00906967773665329,0.036760255411603,0.0582493078007918,0.0923002797798959,0.152313043296052,0.145783202205656,0.145311406002897,0.11516990856566,0.0912805691162197,0.0765896114135563,0.0642630587569076,0.0567536473274899,0.0362771567953169,0.0228611895507219,0.0273751573681725,0.0265707785524366,0.0422391303288524,0.0639754054120778,0.0941003753440322,0.102912025080885,0.0915694860323168,0.12242583932439,0.0942749783061666,0.133516549282773,0.101288177800257,0.0915171450450794,0.0317538310137415,0.0578419535980746,0.00422738151591216,0.00179032283020172,0.00862891926042188,0.0415892856566494,0.200450210417868,0.132877208126377,0.0300531448445149,0.00398862479214029,0.00629083829989395,0.00249378505322816,0.00247515996846453,0.00268737711444037,0.00243832606999278,0.00146331095330837,0.00686150762186122,0.0020376392729375,0.00247759217896137,0.00242101800615845,0.00244401289755669,0.00231171566343553,0.00216562338284019,0.000374764118844623,0.00308215297812021,0.00163580781936887,0.00106930442133608,0.00130052438081418,0.00111767465727565
"ASV_9",0.271679050961374,0.160275027807195,0.0539757263371956,0.0109446416645136,0.00593287883666821,0.00229325394782774,0.00178933781443041,0,0.00122494887657311,0.0242911838754248,0.00162271440757646,0.00127910984274972,0.00100826244111727,0.000794766107015778,3.59597468236489e-05,0,0,0,0,0,0,0.000146336840090813,0.0073614782717685,0.000402530433407507,0.000149566055242722,0.000128566945707321,0.000114631272257494,0.000113146714617808,0.000219049177350228,0,0,0,0,0,0,0.000273243052101736,0.0285795213507855,0.306324092117067,0.384717465649819,0.300407426928192,0.262285618472939,0.220945850356079,0.238700413788808,0.0733258686296965,0.0733930916561763,0.0858687150593822,0.0294755177104526,0.0199163740020771,0.0134573362641888,0.00909301559152098,0.00406171931215367,0.00792670285989661,0.00226207412178517,0.0191840155639267,0.0287806278202565,0.0448913804954879,0.06477713770366,0.00878302732335077,0.0032336407543547,0.00397936994055737,0.00333084136044029,0.00295928800299778,0.00318373447182932,0.000678744703239034
"ASV_10",0.000161916567163658,0.00326274941885152,0.0113924607813269,0.0141511210988133,0.00904583122922866,0.00844681364584588,0.0052487001514394,0.00760785357214162,0.0069854438406323,0.0074234249928594,0.0181777359738592,0.0145503615244371,0.0122588190421562,0.0103281725375648,0.00911704904449438,0.00839331315580732,0.00903207369861382,0.00943890789838595,0.00999309481193941,0.010579819720191,0.0112009930275064,0.021838705502296,0.035760950037006,0.0126907431599519,0.0127391159144634,0.0118001264648263,0.010436945835008,0.0117474620105394,0.0182966320720868,0.0136571786900316,0.0122580136781319,0.0141245046011844,0.0155954443838795,0.0190658891982681,0.0193231851882398,0.0307403296145879,0.033164712040241,0.00407156793649047,0.00203912328916901,0.00556750621440123,0.0166287277611138,0.0496657886502185,0.0771860088987739,0.0928567484807041,0.107803967405822,0.110649039911756,0.135501426322647,0.127118743506636,0.119254648377122,0.111877058939059,0.0843812779730524,0.0439874587231465,0.0302362749245857,0.113036989602131,0.0981863578443383,0.0852867800236848,0.0782475966229878,0.0450435159456033,0.00632335836043395,0.00982340474994525,0.0189622145303542,0.0327782057954424,0.036895486298485,0.0559501550692353
