"","m3_T1","m3_T2","m3_T3","m3_T4","m3_T5","m3_T6","m3_T7","m3_T8","m3_T9","m3_T10","m3_T11","m3_T12","m3_T13","m3_T14","m3_T15","m3_T16","m3_T17","m3_T18","m3_T19","m3_T20","m3_T21","m3_T22","m3_T23","m3_T24","m3_T25","m3_T26","m3_T27","m3_T28","m3_T29","m3_T30","m3_T31","m3_T32","m3_T33","m3_T34","m3_T35","m3_T36","m3_T37","m3_T38","m3_T39","m3_T40","m3_T41","m3_T42","m3_T43","m3_T44","m3_T45","m3_T46","m3_T47","m3_T48","m3_T49","m3_T50","m3_T51","m3_T52","m3_T53","m3_T54","m3_T55","m3_T56","m3_T57","m3_T58","m3_T59","m3_T60","m3_T61","m3_T62","m3_T63","m3_T64"
"ASV_1",-3.15226070250937,-0.0378345139324665,-1.369513630867,-0.102807722985744,-1.12460064888,-0.34992578625679,-1.07170033454895,-0.55879533290863,-1.05134046077728,-0.694577276706696,-1.02762806415558,-0.771909356117249,-0.985525667667389,-0.789761662483215,-0.916335642337799,-0.76254665851593,-0.833421289920807,-0.714532911777496,-0.75297474861145,-0.663550555706024,-0.684229135513306,-0.805982410907745,-0.86034482717514,-0.833048701286316,-0.844635963439941,-0.81303071975708,-0.820945858955383,-0.802684485912323,-0.624121010303497,-0.569948673248291,-0.555561542510986,-0.540870070457458,-0.54053258895874,-0.527650713920593,-0.521693766117096,-0.548728942871094,-0.57491260766983,-0.579558968544006,-0.575500905513763,-0.559935450553894,-0.547940611839294,-0.536289930343628,-0.491125464439392,-0.454985857009888,-0.441704899072647,-0.443049907684326,-0.456266075372696,-0.469191253185272,-0.481371074914932,-0.487994194030762,-0.492852538824081,-0.494711458683014,-0.487383455038071,-0.481740713119507,-0.474947273731232,-0.46581169962883,-0.457841336727142,-0.451143890619278,-0.446751475334167,-0.452279597520828,-0.4555284678936,-0.459707021713257,-0.465111702680588,-0.468762099742889
"ASV_2",-2.08314366668489,1.00356554985046,-1.30576276779175,0.0705721825361252,-1.09609627723694,0.096379242837429,-0.760177671909332,-0.0198558587580919,-0.60720431804657,-0.0745883658528328,-0.474417567253113,-0.139961659908295,-0.460736036300659,-0.27757129073143,-0.533033490180969,-0.434015572071075,-0.629667818546295,-0.580506861209869,-0.732374370098114,-0.71626627445221,-0.836756944656372,-0.840944230556488,-0.90383106470108,-0.901459872722626,-0.968077838420868,-0.96587598323822,-0.997810959815979,-0.993780374526978,-1.03215336799622,-1.0887063741684,-1.15528082847595,-1.19537031650543,-1.2577691078186,-1.31066763401031,-1.36675119400024,-1.41797184944153,-1.6243976354599,-1.72374284267426,-1.75615358352661,-1.73373568058014,-1.69206273555756,-1.64443445205688,-1.59010398387909,-1.38388657569885,-1.2842606306076,-1.25975263118744,-1.2914309501648,-1.34582114219666,-1.4035576581955,-1.44746553897858,-1.64275085926056,-1.92761504650116,-2.05349326133728,-2.12389755249023,-2.1708493232727,-2.20122480392456,-2.21998071670532,-2.06752133369446,-1.81278514862061,-1.71418273448944,-1.6718338727951,-1.65616059303284,-1.65881109237671,-1.67422342300415
"ASV_3",-1.2492548756281,0.51622211933136,-1.217817902565,0.273923993110657,-1.84673988819122,-0.862506568431854,-2.45331716537476,-1.73486065864563,-2.82470750808716,-2.31726455688477,-3.05506157875061,-2.69124722480774,-3.16859269142151,-2.88779401779175,-3.18354749679565,-2.96899557113647,-3.15893721580505,-3.01003241539001,-3.14582371711731,-3.05581092834473,-3.16408276557922,-3.26064729690552,-3.43718934059143,-3.43113470077515,-3.49434232711792,-3.48615002632141,-3.55358743667603,-3.57673525810242,-3.50143194198608,-3.43976473808289,-3.47716522216797,-3.50539922714233,-3.54708528518677,-3.55487513542175,-3.56812715530396,-3.61224436759949,-3.67833805084229,-3.65901947021484,-3.59370875358582,-3.50556707382202,-3.43310928344727,-3.37560057640076,-3.29846143722534,-3.22543668746948,-3.24833154678345,-3.3314938545227,-3.43880844116211,-3.53459095954895,-3.6121838092804,-3.66546559333801,-3.70446681976318,-3.73114442825317,-3.76238203048706,-3.78623199462891,-3.80257701873779,-3.81299948692322,-3.82540941238403,-3.84081268310547,-3.85982465744019,-3.87007069587708,-3.88216114044189,-3.89750576019287,-3.91360545158386,-3.92421793937683
"ASV_4",-0.88554791895602,0.663910448551178,-1.54391741752625,-0.16340896487236,-1.81952214241028,-0.744675517082214,-1.65042781829834,-0.819354772567749,-1.37960147857666,-0.782519817352295,-1.14477705955505,-0.712770819664001,-0.940329790115356,-0.625597178936005,-0.768339812755585,-0.544550776481628,-0.63995635509491,-0.488322198390961,-0.55841863155365,-0.460804998874664,-0.51565283536911,-0.624683141708374,-0.761000394821167,-0.753915309906006,-0.791326880455017,-0.763388633728027,-0.787001192569733,-0.771780967712402,-0.619158446788788,-0.513478577136993,-0.492378652095795,-0.477251052856445,-0.486788928508759,-0.479132324457169,-0.482226133346558,-0.476873934268951,-0.470195710659027,-0.451081275939941,-0.431955844163895,-0.400488644838333,-0.377827644348145,-0.357278376817703,-0.34854456782341,-0.354431211948395,-0.374848991632462,-0.402129381895065,-0.440490067005157,-0.472447991371155,-0.49965363740921,-0.515356540679932,-0.525352954864502,-0.590387940406799,-0.636434495449066,-0.668738305568695,-0.682719767093658,-0.684452593326569,-0.68319696187973,-0.68014931678772,-0.615981161594391,-0.568245351314545,-0.531736135482788,-0.513026416301727,-0.505962371826172,-0.502662479877472
"ASV_5",-1.68730496747428,-0.0394492633640766,-1.80607295036316,-0.533812403678894,-1.92615342140198,-0.83055567741394,-1.71743535995483,-0.948775887489319,-1.54057633876801,-1.00864124298096,-1.40362632274628,-1.03427505493164,-1.29973042011261,-1.04582786560059,-1.22717440128326,-1.0531815290451,-1.17622995376587,-1.05458962917328,-1.13514292240143,-1.04712986946106,-1.09710681438446,-1.05288016796112,-1.07546329498291,-1.02385210990906,-1.04821860790253,-1.01818335056305,-1.03267848491669,-1.00746035575867,-0.992679476737976,-0.982193171977997,-0.991796910762787,-0.976040005683899,-0.97871345281601,-0.971759736537933,-0.97984516620636,-0.979839444160461,-0.962304890155792,-0.925624549388885,-0.922410190105438,-0.928638577461243,-0.948678851127625,-0.963878452777863,-0.977828979492188,-1.00675761699677,-1.04412055015564,-1.04641008377075,-1.03435730934143,-1.01018643379211,-0.989786624908447,-0.973306834697723,-0.96606171131134,-0.961613118648529,-0.933024525642395,-0.909956216812134,-0.903017103672028,-0.905048191547394,-0.911317706108093,-0.916378259658813,-0.921644330024719,-0.95356559753418,-0.980080783367157,-0.991124749183655,-0.992932498455048,-0.99096292257309
"ASV_6",-1.04883675274029,0.287834107875824,-1.10471498966217,-0.158327743411064,-1.30265140533447,-0.587789177894592,-1.42859125137329,-0.961262702941895,-1.55293929576874,-1.22156596183777,-1.62079644203186,-1.39858567714691,-1.68046438694,-1.53604865074158,-1.73414552211761,-1.64089596271515,-1.78438901901245,-1.7324892282486,-1.84589898586273,-1.82801198959351,-1.92413806915283,-2.01690459251404,-2.13676810264587,-2.15438866615295,-2.21096897125244,-2.21832180023193,-2.26422190666199,-2.28372669219971,-2.24502110481262,-2.23584151268005,-2.28033900260925,-2.3184118270874,-2.36810564994812,-2.39970374107361,-2.43178296089172,-2.49728918075562,-2.59986710548401,-2.64827561378479,-2.63061618804932,-2.57587647438049,-2.5191810131073,-2.46812438964844,-2.38677740097046,-2.28232026100159,-2.23900318145752,-2.27183675765991,-2.3438720703125,-2.42060112953186,-2.48907709121704,-2.53927063941956,-2.57504558563232,-2.66752219200134,-2.7422034740448,-2.78540468215942,-2.81309962272644,-2.82933330535889,-2.84192323684692,-2.85322165489197,-2.79726195335388,-2.75488996505737,-2.74155640602112,-2.74300932884216,-2.75465083122253,-2.76915311813354
"ASV_7",-4,-1.33909380435944,-1.0928258895874,-0.399513125419617,-0.456510454416275,-0.275096595287323,-0.369122803211212,-0.241048067808151,-0.348932206630707,-0.287957012653351,-0.400225162506104,-0.385892063379288,-0.485093116760254,-0.487008035182953,-0.560477733612061,-0.561468780040741,-0.60742461681366,-0.600541770458221,-0.622613608837128,-0.607709527015686,-0.612983405590057,-0.644672632217407,-0.728671073913574,-0.724974513053894,-0.709004402160645,-0.684170126914978,-0.674320697784424,-0.663926839828491,-0.613008797168732,-0.523903608322144,-0.514355361461639,-0.528083443641663,-0.545416951179504,-0.555001318454742,-0.561028063297272,-0.575131237506866,-0.692516505718231,-0.765647411346436,-0.8255535364151,-0.859500586986542,-0.879875123500824,-0.887476980686188,-0.874518156051636,-0.75243490934372,-0.670294463634491,-0.60057008266449,-0.556654572486877,-0.528160274028778,-0.514163136482239,-0.509554982185364,-0.510991930961609,-0.498202472925186,-0.500226199626923,-0.49822935461998,-0.492172241210938,-0.482264190912247,-0.47257336974144,-0.464668273925781,-0.476617902517319,-0.477935880422592,-0.485833466053009,-0.499529212713242,-0.517898082733154,-0.536367356777191
"ASV_8",-2.108593047624,-0.653047382831573,-0.662056386470795,-0.265660881996155,-0.857536196708679,-0.503147423267365,-0.719419240951538,-0.356422394514084,-0.490047633647919,-0.269306480884552,-0.39663890004158,-0.271745353937149,-0.382078438997269,-0.318977475166321,-0.418110281229019,-0.398810476064682,-0.488386511802673,-0.494220077991486,-0.570645451545715,-0.586418211460114,-0.647120475769043,-0.663753271102905,-0.722169101238251,-0.712679088115692,-0.714734315872192,-0.704506993293762,-0.72097384929657,-0.729680180549622,-0.749308049678802,-0.744958937168121,-0.783475995063782,-0.823328971862793,-0.859453976154327,-0.878214597702026,-0.893760800361633,-0.904657959938049,-0.920179486274719,-0.9056316614151,-0.891697764396667,-0.886892676353455,-0.892639636993408,-0.900820970535278,-0.910459518432617,-0.915579080581665,-0.946393191814423,-0.973507523536682,-0.986534416675568,-0.986554384231567,-0.981329023838043,-0.973775863647461,-0.940094530582428,-0.929957509040833,-0.934925675392151,-0.94082510471344,-0.94376927614212,-0.944703638553619,-0.948193609714508,-0.981721699237823,-0.995155870914459,-0.996702909469604,-0.999502182006836,-1.00740933418274,-1.01904034614563,-1.0298900604248
"ASV_9",-0.64900628142718,1.79660534858704,-3.63657522201538,-0.245962709188461,-3.72856879234314,-1.24384033679962,-3.64787578582764,-2.13942384719849,-3.84624409675598,-2.76161313056946,-3.81368112564087,-2.96240997314453,-3.58863663673401,-2.93336081504822,-3.30605983734131,-2.81455016136169,-3.03966641426086,-2.68264675140381,-2.82540535926819,-2.57623410224915,-2.67474508285522,-2.5086681842804,-2.59654831886292,-2.5063624382019,-2.62210845947266,-2.61005640029907,-2.6949348449707,-2.6676082611084,-2.70110821723938,-2.65152645111084,-2.64998936653137,-2.56430816650391,-2.5186460018158,-2.45927953720093,-2.45125961303711,-2.16546988487244,-1.98814487457275,-1.87234783172607,-1.817751288414,-1.78000426292419,-1.77149832248688,-1.75345230102539,-2.01538872718811,-2.18766450881958,-2.29453682899475,-2.3530752658844,-2.39370965957642,-2.41444754600525,-2.44314312934875,-2.46928668022156,-2.50022959709167,-2.52258992195129,-2.52527403831482,-2.51886105537415,-2.5327877998352,-2.55417513847351,-2.57663893699646,-2.59031844139099,-2.59923505783081,-2.61709809303284,-2.63183927536011,-2.61895990371704,-2.59207701683044,-2.56169819831848
"ASV_10",-3.24413435253751,-0.741253554821014,-1.95387971401215,-0.505187392234802,-1.62059593200684,-0.703590452671051,-1.56734609603882,-0.976724445819855,-1.57604384422302,-1.16722917556763,-1.5631902217865,-1.26885366439819,-1.51079773902893,-1.27894806861877,-1.41430008411407,-1.23110997676849,-1.30469489097595,-1.1650995016098,-1.20544469356537,-1.10305655002594,-1.1266667842865,-1.05465054512024,-1.06460726261139,-1.02011036872864,-1.0407212972641,-1.02041125297546,-1.04508805274963,-1.03890323638916,-1.05875551700592,-1.05844664573669,-1.06322145462036,-1.0456109046936,-1.03685760498047,-1.01397132873535,-1.00105488300323,-0.989759981632233,-0.98285573720932,-0.937919676303864,-0.895537555217743,-0.865354895591736,-0.852631211280823,-0.842727959156036,-0.833187937736511,-0.830720365047455,-0.869484722614288,-0.912966907024384,-0.944693624973297,-0.962296962738037,-0.976419448852539,-0.985762476921082,-0.956743001937866,-0.959046840667725,-0.963078200817108,-0.963297009468079,-0.96443784236908,-0.963975727558136,-0.963486135005951,-1.00157713890076,-1.00720906257629,-1.01061642169952,-1.01521861553192,-1.01681804656982,-1.01744902133942,-1.01672279834747
