"","m3_T1","m3_T2","m3_T3","m3_T4","m3_T5","m3_T6","m3_T7","m3_T8","m3_T9","m3_T10","m3_T11","m3_T12","m3_T13","m3_T14","m3_T15","m3_T16","m3_T17","m3_T18","m3_T19","m3_T20","m3_T21","m3_T22","m3_T23","m3_T24","m3_T25","m3_T26","m3_T27","m3_T28","m3_T29","m3_T30","m3_T31","m3_T32","m3_T33","m3_T34","m3_T35","m3_T36","m3_T37","m3_T38","m3_T39","m3_T40","m3_T41","m3_T42","m3_T43","m3_T44","m3_T45","m3_T46","m3_T47","m3_T48","m3_T49","m3_T50","m3_T51","m3_T52","m3_T53","m3_T54","m3_T55","m3_T56","m3_T57","m3_T58","m3_T59","m3_T60","m3_T61","m3_T62","m3_T63","m3_T64"
"ASV_1",-3.15226070250937,-1.82131746225049,-1.80639669498359,-1.50718864880717,-1.50980850960968,-1.60677208006763,-1.61481897541075,-1.50628194392709,-1.73820803626771,-1.68152364196254,-1.69893410468075,-1.60127632733679,-1.50361854999282,-1.40596077264886,-1.29752214319464,-1.18908351374042,-1.11836620733599,-1.04764890093157,-1.09728611512863,-1.1469233293257,-1.19656054352276,-1.56054872837917,-1.94323451197855,-2.21890990727479,-1.91918897605777,-1.95009136087743,-1.98099374569709,-2.01189613051675,-1.27871974761287,-1.03742556521423,-1.12884449258374,-1.09165695347547,-1.08597006391946,-1.1121823954612,-1.13839472700294,-1.02577874747946,-0.851686762026212,-0.743990791395829,-0.660937786564401,-0.805864337843181,-0.950790889121961,-1.09571744040074,-1.05397055079208,-0.690979932509096,-0.548776462664587,-0.551623268078271,-0.610121488197336,-0.508523835523207,-0.406926182849077,-0.305328530174947,-0.178972417614164,-0.248878726262942,-0.294452793941432,-0.975983233163407,-0.883588276148415,-0.791193319133424,-0.698798362118432,-0.49465844596442,-0.514866451490482,-0.541216251798766,-0.775939056410934,-0.758170127112675,-0.951184026772116,-0.964748828934346
"ASV_2",-2.08314366668489,-1.53607206626623,-0.893889127805655,-0.926771475134457,-0.893994930252637,-1.07788772410684,-1.0916307945972,-1.71859935969327,-1.01341805263235,-0.893537090091529,-0.852217266290703,-0.848953501485192,-0.845689736679681,-0.84242597187417,-0.863621385364076,-0.884816798853981,-0.860549963575279,-0.836283128296577,-0.845196523036411,-0.854109917776246,-0.863023312516081,-0.453764723380195,-0.377955992565713,-0.304717308500972,-0.350790111758154,-0.425926535452581,-0.501062959147008,-0.576199382841436,-0.53933695013565,-0.785890630082188,-0.717890725587818,-0.79150663300229,-0.790300059968632,-0.878132305055707,-0.965964550142782,-0.976415211049719,-1.15312414821439,-0.825881748996569,-1.19520192284241,-1.67459312327642,-2.15398432371043,-2.63337552414444,-3.48614335557037,-3.11513106059345,-1.52234408669029,-1.44839903543963,-0.792934571476359,-0.783647610903431,-0.774360650330504,-0.765073689757577,-2.10987180630118,-1.46281947764862,-2.67190455599624,-3.35595604434569,-3.46693065268036,-3.57790526101503,-3.6888798693497,-4,-3.61005138010223,-3.51716837893764,-0.803765085081115,-0.623119365095841,-0.667220115030423,-0.726723524722277
"ASV_3",-1.2492548756281,-0.846710780552196,-0.837368244729081,-0.860863519558225,-0.709291146045298,-0.632494882308601,-0.675824673349214,-0.710245485060951,-0.826806240201491,-0.808508748887048,-0.828355853952185,-0.74719745073912,-0.666039047526055,-0.58488064431299,-0.629461543311653,-0.674042442310317,-0.74350808008683,-0.812973717863344,-0.758992568804944,-0.705011419746543,-0.651030270688142,-1.36849436083949,-2.19078638383856,-2.68188521448943,-2.96398681258999,-3.11625667673966,-3.26852654088933,-3.420796405039,-2.57166545728021,-2.0331859071402,-1.98022835692864,-2.01674195364643,-2.12459013192987,-2.33740673380919,-2.55022333568852,-2.41335734539246,-2.6376469153074,-2.77655963074852,-2.93328162798786,-3.02723046526534,-3.12117930254283,-3.21512813982031,-3.71989528966284,-3.42254173512143,-3.03624004191842,-3.15257215041178,-4,-4,-4,-4,-4,-3.58453120757415,-4,-3.63638841416854,-3.75759227611236,-3.87879613805618,-4,-4,-4,-4,-4,-4,-4,-4
"ASV_4",-0.88554791895602,-0.760548052676595,-0.960562695207277,-0.916319559957651,-1.01080851819273,-1.16739730460317,-1.4116211276889,-1.22613912713447,-1.30810082333193,-1.11540405889376,-1.10338521130033,-1.16598654061016,-1.22858786991999,-1.29118919922981,-1.29803871325109,-1.30488822727237,-1.34441775132018,-1.38394727536798,-1.49385298416878,-1.60375869296958,-1.71366440177038,-2.23436220336928,-3.03569332328103,-2.99802541073825,-3.0173175873115,-3.06116586774069,-3.10501414816987,-3.14886242859906,-1.76750034556786,-1.0319207982368,-0.961718749860402,-0.905174777929604,-0.864775081673665,-0.857932518583552,-0.851089955493438,-0.779354061931876,-0.663838606689216,-0.908479695751259,-0.890138612365929,-0.84503184373063,-0.799925075095331,-0.754818306460033,-1.01004809584345,-0.802525181697193,-0.847976763210202,-0.825478718021909,-0.895616540368161,-1.13047650310863,-1.36533646584909,-1.60019642858956,-2.07490336890394,-1.78746951504652,-2.29660750717034,-2.26401875035677,-2.4262619967394,-2.58850524312203,-2.75074848950466,-1.66202405877004,-1.20456229934239,-1.00874777192478,-1.00327507207989,-0.934432222567852,-0.848496429819149,-0.781469431736345
"ASV_5",-1.68730496747428,-1.29018467775445,-1.3472372134441,-1.71082784306937,-1.95696892949753,-2.04665571089819,-2.21631803310406,-2.27507985779532,-2.50252217958065,-2.35206629881318,-2.34730646161349,-2.3011293254864,-2.2549521893593,-2.20877505323221,-2.08208849484876,-1.95540193646532,-1.9456288205948,-1.93585570472429,-1.93957800900249,-1.94330031328068,-1.94702261755888,-1.66041581414637,-2.0358939810891,-2.19166077847083,-1.58804937332457,-1.58018234584542,-1.57231531836628,-1.56444829088713,-1.26414233861262,-1.48739216220347,-1.70109856175486,-1.87661634809287,-1.98311165086324,-1.89554997550917,-1.8079883001551,-1.75825121152813,-1.86522439094367,-1.96782456157268,-1.73938239569871,-1.84986783046945,-1.96035326524019,-2.07083870001093,-1.58790697998456,-1.39415459103902,-1.59222116386726,-1.43026407485764,-1.68064083100311,-1.83752711802858,-1.99441340505406,-2.15129969207954,-1.74320138981899,-1.63312273394233,-2.02604878492375,-1.56725581817614,-1.72959749990814,-1.89193918164014,-2.05428086337214,-1.46617482424169,-1.6169734980087,-1.93336344713044,-1.82243470411316,-2.43154415734152,-2.10257286013201,-1.98763983805888
"ASV_6",-1.04883675274029,-0.934168323168091,-0.869666511487344,-0.737458842177474,-0.799509560569919,-0.747669825843458,-0.781187246074212,-0.759789715425834,-0.97573517524999,-0.897801212160465,-0.904139506835526,-0.92701189605824,-0.949884285280954,-0.972756674503668,-0.935456385783736,-0.898156097063804,-0.871971931113234,-0.845787765162663,-0.876969861032744,-0.908151956902825,-0.939334052772905,-1.36412172270964,-2.11554049962453,-2.38364682821404,-1.97648163992138,-2.0608725551271,-2.14526347033282,-2.22965438553854,-1.88669658795291,-1.98566004872938,-1.82479171505382,-1.84845362631944,-1.39584756218837,-1.2723535827997,-1.14885960341104,-1.3908845387235,-1.79465938204207,-1.96979068465486,-1.87525208699798,-1.63643881210063,-1.39762553720328,-1.15881226230594,-1.25378513984913,-1.39655468132504,-1.66079616702735,-1.70103058686842,-1.72563578027801,-2.17536314669419,-2.62509051311037,-3.07481787952654,-3.51264134804751,-3.71760866850068,-3.77271418853581,-4,-4,-4,-4,-4,-4,-4,-4,-3.8442398732361,-4,-4
"ASV_7",-4,-4,-4,-4,-2.72516521553031,-1.34248529440273,-1.0980407738898,-1.10884652489659,-1.00771478474137,-1.49604650340651,-1.11626884647514,-1.10798367256286,-1.09969849865058,-1.0914133247383,-1.15156735637884,-1.21172138801939,-1.21133179049505,-1.21094219297071,-1.13277527222503,-1.05460835147936,-0.976441430733691,-1.81923443798061,-2.18578522137621,-2.27312923068626,-2.26977752731185,-2.18687341569745,-2.10396930408306,-2.02106519246866,-1.49367030070128,-1.3392312793238,-1.18320778923044,-1.25657835667368,-1.049133826492,-1.0550629610786,-1.06099209566519,-0.798102348635693,-1.48564022320259,-2.57481519633775,-2.73203622981719,-2.57271641821917,-2.41339660662116,-2.25407679502315,-1.74492239880148,-1.95112972887562,-2.86155085963287,-2.88659729959041,-1.32657943088619,-1.2639391799201,-1.201298928954,-1.13865867798791,-1.23052032602679,-1.52778045138759,-1.3609089203091,-0.92322848971696,-0.959970626701284,-0.996712763685607,-1.03345490066993,-0.912195153747699,-0.893970660032179,-0.970143262887943,-0.958972399999628,-1.23260118694675,-0.982792066900702,-1.10129442843788
"ASV_8",-2.108593047624,-2.24939292545248,-1.58224264924727,-1.15928506322078,-1.35935796584574,-1.27470677901594,-1.03340581165585,-0.910705669463669,-0.911784660731572,-0.85813623540459,-0.901316856637006,-1.11045111544302,-1.31958537424903,-1.52871963305504,-1.31510354030592,-1.1014874475568,-1.14011886239107,-1.17875027722534,-1.1670976799929,-1.15544508276046,-1.14379248552801,-0.934396890252006,-0.942492798449712,-1.06226098870424,-1.15116523491346,-1.15963203005906,-1.16809882520466,-1.17656562035026,-0.890486153218166,-0.91573833016749,-0.957944874774165,-1.02671045676536,-1.11063715302681,-1.07571882792024,-1.04080050281367,-1.22021367778054,-2.04295763824084,-2.48011571821406,-2.8111326165263,-2.40636015599129,-2.00158769545628,-1.59681523492128,-1.04188899915898,-1.90028865188344,-2.72453909626551,-2.44325518672359,-2.66361127936908,-2.65692137449211,-2.65023146961514,-2.64354156473818,-2.77768290554572,-2.25035727088399,-1.98666550608239,-2.52169396484881,-2.43501038169149,-2.34832679853417,-2.26164321537684,-1.78801066630315,-1.87880615855809,-1.60648707795312,-1.75266564035936,-1.85015284419838,-1.86838133565087,-1.81771489422575
"ASV_9",-0.64900628142718,-0.989265885324946,-1.23334328285145,-1.62400949519329,-1.99473545951155,-2.33505322955041,-2.63105544199759,-3.21759387910324,-2.98364978616012,-2.9368929665542,-3.08814773360553,-3.23118267947509,-3.37421762534466,-3.51725257121423,-3.75862628560712,-4,-4,-4,-4,-4,-4,-3.70235652568087,-4,-4,-4,-3.91797722902856,-3.83595445805712,-3.75393168708568,-3.90202742249408,-3.78007392633266,-2.78912514120455,-4,-4,-3.56979049261618,-3.13958098523236,-3.38547928458015,-1.2251475339922,-0.86731608974906,-0.914358448488523,-0.821790893378329,-0.729223338268134,-0.63665578315794,-0.681445932201646,-1.04283682656556,-1.00371223773763,-1.10661157773901,-1.8990636636724,-2.22030331819017,-2.54154297270793,-2.8627826272257,-2.77768290554572,-2.2381408538868,-1.66922994854118,-2.1910878427467,-2.28589478319815,-2.3807017236496,-2.47550866410104,-3.5525266420835,-4,-4,-4,-3.68225149675862,-4,-4
"ASV_10",-3.24413435253751,-2.34615234547225,-1.78960660484886,-1.90341979559294,-1.93889566476381,-1.93100701208927,-1.96927649385164,-1.96843761384871,-2.35402433969801,-2.25196188681928,-2.32364477966903,-2.22931904232329,-2.13499330497756,-2.04066756763182,-2.03037955173382,-2.02009153583581,-1.97060303480255,-1.92111453376928,-1.9574869977932,-1.99385946181712,-2.03023192584104,-1.88159245801351,-1.79657012536141,-2.00314305685318,-1.99998013764497,-1.90879187101901,-1.81760360439304,-1.72641533776707,-1.79334891245196,-1.98358726107279,-2.08861166420331,-2.06512017484054,-2.12793117202839,-2.04920763942109,-1.97048410681379,-1.6523148067008,-1.46257390997518,-1.21132915520543,-1.01191753868073,-1.06592967890248,-1.11994181912422,-1.17395395934596,-1.05130576088828,-1.14226570469674,-1.01585209748019,-0.855578800512285,-1.01435286041363,-1.17279308008379,-1.33123329975396,-1.48967351942412,-1.59664240966838,-0.89694838340422,-0.796864020422596,-0.780926200456469,-0.875098495864745,-0.969270791273021,-1.0634430866813,-1.23891565314258,-1.47428642741607,-1.38546041790381,-1.63306135905411,-1.68178928437821,-1.73729009352657,-1.77320124302266
