HeldoutSubjectId	HeldoutSubjectIdx	Method	TaxonIdx	TimePoint	Truth	Pred
2	0	MDSINE2	0.0	0.0	96016783.88308714	96016783.88308714
2	0	MDSINE2	0.0	1.0	6081096.091609839	111951273.04814485
2	0	MDSINE2	0.0	2.0	25132257.967918836	130502450.94743371
2	0	MDSINE2	0.0	3.0	104781835.7126948	152090003.14994848
2	0	MDSINE2	0.0	4.0	108410328.86709318	177197340.1763625
2	0	MDSINE2	0.0	5.0	454258109.6478558	206379991.99365774
2	0	MDSINE2	0.0	6.0	979401807.0971885	240274643.7617317
2	0	MDSINE2	0.0	7.0	545977180.1588324	279608678.44659656
2	0	MDSINE2	0.0	8.0	573066790.6111131	325210001.3659524
2	0	MDSINE2	0.0	9.0	545119727.4521991	439086750.5793716
2	0	MDSINE2	0.0	10.0	1040933954.6854761	590889657.9309816
2	0	MDSINE2	0.0	11.0	5193057906.810591	791707041.3912356
2	0	MDSINE2	0.0	12.0	5164865074.366183	1054702481.3736976
2	0	MDSINE2	0.0	13.0	3962861641.644067	1394647882.3996315
2	0	MDSINE2	0.0	14.0	3437395222.326853	1826758255.2657895
2	0	MDSINE2	0.0	15.0	1216855266.3958454	3810997509.568926
2	0	MDSINE2	0.0	16.0	1875815897.2988088	6195726019.68359
2	0	MDSINE2	0.0	17.0	1495156194.3765235	9035635829.646942
2	0	MDSINE2	0.0	18.0	7715028661.939049	12338280606.20695
2	0	MDSINE2	0.0	19.0	11140130368.173098	12719601425.52798
2	0	MDSINE2	0.0	20.0	2034449922.9625432	11745993732.42326
2	0	MDSINE2	0.0	21.0	1538560360.3251414	11922150787.575146
2	0	MDSINE2	0.0	22.0	328425003.2015202	11448282662.3588
2	0	MDSINE2	0.0	23.0	814298665.0567791	11068056092.873856
2	0	MDSINE2	0.0	24.0	1444707563.6194916	11384046790.805763
2	0	MDSINE2	0.0	25.0	1061689696.5711787	12021293783.539509
2	0	MDSINE2	0.0	26.0	501918886.3287589	12827360437.566864
2	0	MDSINE2	0.0	27.0	436693922.2470497	12835900216.169949
2	0	MDSINE2	0.0	28.0	10872130506.499578	12955688534.473112
2	0	MDSINE2	0.0	29.0	12988098726.50733	13118311312.36718
2	0	MDSINE2	0.0	30.0	27811919236.009304	13321653322.791996
2	0	MDSINE2	0.0	31.0	2517376956.111766	13504100055.054419
2	0	MDSINE2	0.0	32.0	36567708375.49144	13667014850.987572
2	0	MDSINE2	0.0	33.0	16545120603.991013	13760330987.576893
2	0	MDSINE2	0.0	34.0	4782323784.504114	13773863109.825562
2	0	MDSINE2	0.0	35.0	20870626524.00732	13974980352.725456
2	0	MDSINE2	0.0	36.0	17393728193.59552	14527559109.755333
2	0	MDSINE2	0.0	37.0	15006798709.278605	14553439599.51352
2	0	MDSINE2	0.0	38.0	17292938140.134686	13844843627.82326
2	0	MDSINE2	0.0	39.0	21169540347.27048	12042492032.271015
2	0	MDSINE2	0.0	40.0	10894522828.953926	10530978566.030468
2	0	MDSINE2	0.0	41.0	25922902962.060867	9533811698.987724
2	0	MDSINE2	0.0	42.0	21048532541.33195	8822223533.483051
2	0	MDSINE2	0.0	43.0	13949158942.805319	8068437720.788585
2	0	MDSINE2	0.0	44.0	4577447381.711808	7254281131.498138
2	0	MDSINE2	0.0	45.0	6807308080.170375	7383214224.586594
2	0	MDSINE2	0.0	46.0	3276834385.736023	7657687395.816311
2	0	MDSINE2	0.0	47.0	3398347144.1962514	8289028387.73134
2	0	MDSINE2	0.0	48.0	5041712674.539484	9265132588.799997
2	0	MDSINE2	0.0	49.0	6868096009.10326	9564504347.008743
2	0	MDSINE2	0.0	50.0	5089930421.137322	10430262293.35321
2	0	MDSINE2	0.0	51.0	4620867770.654475	10759645134.641953
2	0	MDSINE2	0.0	52.0	5643233608.702708	11133320954.98796
2	0	MDSINE2	0.0	53.0	17297834026.247066	11481003744.334328
2	0	MDSINE2	0.0	54.0	12742776363.55287	13148630315.958694
2	0	MDSINE2	0.0	55.0	8986046317.531515	12991469513.471607
2	0	MDSINE2	0.0	56.0	12564923637.68941	13248602636.087181
2	0	MDSINE2	0.0	57.0	8549509462.771696	13524061780.50758
2	0	MDSINE2	0.0	58.0	5069488217.462193	13612494600.747349
2	0	MDSINE2	0.0	59.0	14989430163.82094	13689461360.856773
2	0	MDSINE2	0.0	60.0	10471525268.731153	13737258908.491547
2	0	MDSINE2	0.0	61.0	13200517205.791883	13919742686.221506
2	0	MDSINE2	0.0	62.0	21757380723.802742	14429923371.62194
2	0	MDSINE2	0.0	63.0	10482048362.602402	14483825397.90244
2	0	MDSINE2	0.0	64.0	10050625834.12731	14499876122.77521
2	0	MDSINE2	0.0	65.0	16447571495.966537	14513385332.150085
2	0	MDSINE2	0.0	66.0	21773220423.191895	14524754308.094936
2	0	MDSINE2	0.0	67.0	41900042611.97689	14534321636.58377
2	0	MDSINE2	0.0	68.0	60013182554.8389	14542372748.066902
2	0	MDSINE2	0.0	69.0	6979999927.620096	14549148092.406404
2	0	MDSINE2	0.0	70.0	17925385803.148087	14554850115.853783
2	0	MDSINE2	0.0	71.0	53256777975.151085	14566398073.707228
2	0	MDSINE2	0.0	72.0	2113627245.4616816	14669268443.753788
2	0	MDSINE2	0.0	73.0	23047914004.765797	14746137827.867828
2	0	MDSINE2	0.0	74.0	70490121417.3119	14744718218.720509
2	0	MDSINE2	1.0	0.0	2080363650.8002212	2080363650.8002212
2	0	MDSINE2	1.0	1.0	98247708.73007147	2528185314.905246
2	0	MDSINE2	1.0	2.0	91211706.96649568	3057184624.8213496
2	0	MDSINE2	1.0	3.0	1938051433.7725992	3675364081.579918
2	0	MDSINE2	1.0	4.0	3139429008.120255	4385007382.592045
2	0	MDSINE2	1.0	5.0	10812853008.875416	5188227452.476087
2	0	MDSINE2	1.0	6.0	10618729312.275219	6081727293.508372
2	0	MDSINE2	1.0	7.0	7477377128.267227	7056394496.317522
2	0	MDSINE2	1.0	8.0	3715590658.690532	8097161634.897112
2	0	MDSINE2	1.0	9.0	2700769167.2735248	10288929216.800152
2	0	MDSINE2	1.0	10.0	5083354732.253767	12429972560.09063
2	0	MDSINE2	1.0	11.0	11418989209.45091	14343977226.64058
2	0	MDSINE2	1.0	12.0	9618919309.089087	16100341183.195278
2	0	MDSINE2	1.0	13.0	8512543668.413228	17360118492.85862
2	0	MDSINE2	1.0	14.0	6167727276.465127	18345545001.63295
2	0	MDSINE2	1.0	15.0	4493143820.525457	19483138219.47307
2	0	MDSINE2	1.0	16.0	3171409805.531522	20229231818.418285
2	0	MDSINE2	1.0	17.0	3207160500.261465	20648264356.572735
2	0	MDSINE2	1.0	18.0	17339577541.25566	20893055410.97788
2	0	MDSINE2	1.0	19.0	21721883968.199757	20896404395.727135
2	0	MDSINE2	1.0	20.0	39283412541.914276	21503356243.21251
2	0	MDSINE2	1.0	21.0	47558885976.82474	21989540576.275093
2	0	MDSINE2	1.0	22.0	30506692587.101955	22413661911.55787
2	0	MDSINE2	1.0	23.0	43588619509.52319	22443331350.186256
2	0	MDSINE2	1.0	24.0	80224075930.91495	22657693744.600975
2	0	MDSINE2	1.0	25.0	61407822631.91477	23188185676.21952
2	0	MDSINE2	1.0	26.0	21605761760.822163	23545720344.225494
2	0	MDSINE2	1.0	27.0	28846752806.71939	23566928534.486652
2	0	MDSINE2	1.0	28.0	41363608473.4946	23325091113.30632
2	0	MDSINE2	1.0	29.0	67275192943.54536	23334719348.200188
2	0	MDSINE2	1.0	30.0	46634562848.3284	22864283629.11132
2	0	MDSINE2	1.0	31.0	4689036792.757512	23000504002.33925
2	0	MDSINE2	1.0	32.0	87361093410.92981	23081822704.01097
2	0	MDSINE2	1.0	33.0	56641573448.771225	22866952089.251602
2	0	MDSINE2	1.0	34.0	7340121887.944275	22760900048.03472
2	0	MDSINE2	1.0	35.0	49604961905.18596	22830154807.044193
2	0	MDSINE2	1.0	36.0	30158508008.189194	22884678037.460213
2	0	MDSINE2	1.0	37.0	18669704771.832424	22842965149.389156
2	0	MDSINE2	1.0	38.0	12236340683.41844	12961347882.079613
2	0	MDSINE2	1.0	39.0	42642175308.90972	7811812384.32185
2	0	MDSINE2	1.0	40.0	1306550537.6326609	5146041265.26464
2	0	MDSINE2	1.0	41.0	1428102836.8252373	3492586537.0013785
2	0	MDSINE2	1.0	42.0	639600529.7482637	2298875227.580724
2	0	MDSINE2	1.0	43.0	114353255.19320743	1116346435.8699617
2	0	MDSINE2	1.0	44.0	5222415.723573084	128688256.02043101
2	0	MDSINE2	1.0	45.0	13917317.8229908	91865223.9926286
2	0	MDSINE2	1.0	46.0	1645547.90043657	118833698.84765735
2	0	MDSINE2	1.0	47.0	575454.6006597666	153086441.07374108
2	0	MDSINE2	1.0	48.0	4230807.838774392	204336102.00592887
2	0	MDSINE2	1.0	49.0	7166900.635603016	264682575.43476617
2	0	MDSINE2	1.0	50.0	69006812.29296352	352551862.1162157
2	0	MDSINE2	1.0	51.0	262417530.24164736	456797951.1284888
2	0	MDSINE2	1.0	52.0	878781496.4486612	594537849.9622756
2	0	MDSINE2	1.0	53.0	3818226696.1309605	917030174.1537814
2	0	MDSINE2	1.0	54.0	801220379.1283015	3009617867.9222755
2	0	MDSINE2	1.0	55.0	264592183.96554932	3538375520.0934668
2	0	MDSINE2	1.0	56.0	1097750926.7281332	2463452062.4246807
2	0	MDSINE2	1.0	57.0	1432784725.628533	1497085820.698214
2	0	MDSINE2	1.0	58.0	27161932.058862165	946927115.1848803
2	0	MDSINE2	1.0	59.0	24562098.804600623	572011822.8796077
2	0	MDSINE2	1.0	60.0	11575665.688223215	359609260.95466536
2	0	MDSINE2	1.0	61.0	4748387.484097799	133073827.93809624
2	0	MDSINE2	1.0	62.0	0.0	6550755.387325059
