HeldoutSubjectId	HeldoutSubjectIdx	Method	TaxonIdx	TimePoint	Truth	Pred
2	0	MDSINE2	0.0	0.0	96016783.88308714	96016783.88308714
2	0	MDSINE2	0.0	1.0	6081096.091609839	191084320.09929776
2	0	MDSINE2	0.0	2.0	25132257.967918836	306976835.0104184
2	0	MDSINE2	0.0	3.0	104781835.7126948	439320582.6235557
2	0	MDSINE2	0.0	4.0	108410328.86709318	563888484.840451
2	0	MDSINE2	0.0	5.0	454258109.6478558	729986643.6352814
2	0	MDSINE2	0.0	6.0	979401807.0971885	791619361.5121996
2	0	MDSINE2	0.0	7.0	545977180.1588324	1048465718.3869638
2	0	MDSINE2	0.0	8.0	573066790.6111131	1257562175.3636627
2	0	MDSINE2	0.0	9.0	545119727.4521991	1488067949.913514
2	0	MDSINE2	0.0	10.0	1040933954.6854761	1833018843.5077906
2	0	MDSINE2	0.0	11.0	5193057906.810591	2355624926.8275614
2	0	MDSINE2	0.0	12.0	5164865074.366183	2615829718.585388
2	0	MDSINE2	0.0	13.0	3962861641.644067	2836403174.9981785
2	0	MDSINE2	0.0	14.0	3437395222.326853	3046052295.816075
2	0	MDSINE2	0.0	15.0	1216855266.3958454	2780354514.320138
2	0	MDSINE2	0.0	16.0	1875815897.2988088	2221060147.9970093
2	0	MDSINE2	0.0	17.0	1495156194.3765235	2349299757.344512
2	0	MDSINE2	0.0	18.0	7715028661.939049	2054036322.7158213
2	0	MDSINE2	0.0	19.0	11140130368.173098	2145830346.78296
2	0	MDSINE2	0.0	20.0	2034449922.9625432	2294164147.92281
2	0	MDSINE2	0.0	21.0	1538560360.3251414	2461711030.0215707
2	0	MDSINE2	0.0	22.0	328425003.2015202	2640115223.8209023
2	0	MDSINE2	0.0	23.0	814298665.0567791	2853853037.4141226
2	0	MDSINE2	0.0	24.0	1444707563.6194916	2958446590.4949417
2	0	MDSINE2	0.0	25.0	1061689696.5711787	3009605331.134183
2	0	MDSINE2	0.0	26.0	501918886.3287589	4209959669.992787
2	0	MDSINE2	0.0	27.0	436693922.2470497	4355506777.98683
2	0	MDSINE2	0.0	28.0	10872130506.499578	4557169836.651281
2	0	MDSINE2	0.0	29.0	12988098726.50733	4702857852.917124
2	0	MDSINE2	0.0	30.0	27811919236.009304	4784210505.325297
2	0	MDSINE2	0.0	31.0	2517376956.111766	4830203871.430761
2	0	MDSINE2	0.0	32.0	36567708375.49144	4876494206.574012
2	0	MDSINE2	0.0	33.0	16545120603.991013	4861547946.664902
2	0	MDSINE2	0.0	34.0	4782323784.504114	4966215807.227419
2	0	MDSINE2	0.0	35.0	20870626524.00732	5131022729.815101
2	0	MDSINE2	0.0	36.0	17393728193.59552	4648417061.405138
2	0	MDSINE2	0.0	37.0	15006798709.278605	4667956475.402697
2	0	MDSINE2	0.0	38.0	17292938140.134686	3599277138.766259
2	0	MDSINE2	0.0	39.0	21169540347.27048	2757115376.7465944
